model	program	backend	real_seconds	peak_rss_mib	base_time	base_rss	time_ratio	rss_ratio	rss_delta_mib
sc	correct/data-structures/fcombiner-async/variants/main0.c	caat	0.11	51.9765625	0.09	51.9296875	1.22222222222222	1.00090266285542	0.046875
sc	correct/data-structures/fcombiner-async/variants/main0.c	cat	0.17	51.9921875	0.09	51.9296875	1.88888888888889	1.0012035504739	0.0625
sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	caat	0.06	51.28125	0.06	51.3046875	1	0.999543170397442	-0.0234375
sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	cat	0.06	51.2734375	0.06	51.3046875	1	0.999390893863256	-0.03125
sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	caat	0.06	51.0859375	0.06	51.03125	1	1.00107164727495	0.0546875
sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	cat	0.06	51.0625	0.06	51.03125	1	1.0006123698714	0.03125
sc	correct/litmus/RMWFix/variants/rmwfix0.c	caat	0.05	50.1875	0.05	50.2109375	1	0.999533219231368	-0.0234375
sc	correct/litmus/RMWFix/variants/rmwfix0.c	cat	0.05	50.171875	0.05	50.2109375	1	0.99922203205228	-0.0390625
sc	correct/litmus/SB/variants/sb0.c	caat	0.05	50.140625	0.05	50.15625	1	0.999688473520249	-0.015625
sc	correct/litmus/SB/variants/sb0.c	cat	0.05	50.1953125	0.05	50.15625	1	1.00077881619938	0.0390625
tso	correct/data-structures/fcombiner-async/variants/main0.c	caat	0.09	51.96875	0.08	51.9375	1.125	1.00060168471721	0.03125
tso	correct/data-structures/fcombiner-async/variants/main0.c	cat	0.09	51.921875	0.08	51.9375	1.125	0.999699157641396	-0.015625
tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	caat	0.06	51.265625	0.06	51.296875	1	0.999390801096558	-0.03125
tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	cat	0.06	51.2890625	0.06	51.296875	1	0.99984770027414	-0.0078125
tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	caat	0.06	51.0390625	0.06	51.046875	1	0.999846954392409	-0.0078125
tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	cat	0.07	51.0703125	0.06	51.046875	1.16666666666667	1.00045913682277	0.0234375
tso	correct/litmus/RMWFix/variants/rmwfix0.c	caat	0.05	50.140625	0.05	50.234375	1	0.998133748055988	-0.09375
tso	correct/litmus/RMWFix/variants/rmwfix0.c	cat	0.05	50.1484375	0.05	50.234375	1	0.998289269051322	-0.0859375
tso	correct/litmus/SB/variants/sb0.c	caat	0.05	50.15625	0.05	50.1328125	1	1.00046750818139	0.0234375
tso	correct/litmus/SB/variants/sb0.c	cat	0.05	50.1953125	0.05	50.1328125	1	1.00124668848372	0.0625
