stage	backend	model	program	repetition	status	real_seconds	user_seconds	sys_seconds	peak_rss_bytes	complete_executions	blocked_executions
stage-0	cat	sc	correct/litmus/SB/variants/sb0.c	1	0	0.05	0.03	0.01	52674560	3	0
stage-0	caat	sc	correct/litmus/SB/variants/sb0.c	1	0	0.05	0.03	0.01	52445184	3	0
stage-0	cat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	1	0	0.05	0.03	0.01	52658176	4	0
stage-0	caat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	1	0	0.05	0.03	0.01	52559872	4	0
stage-0	cat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	1	0	0.06	0.04	0.01	53739520	2	6
stage-0	caat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	1	0	0.07	0.04	0.02	53706752	2	6
stage-0	cat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	1	0	0.06	0.04	0.01	53428224	8	6
stage-0	caat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	1	0	0.07	0.05	0.01	53526528	8	6
stage-0	cat	sc	correct/data-structures/fcombiner-async/variants/main0.c	1	0	0.16	0.13	0.01	54444032	24	16
stage-0	caat	sc	correct/data-structures/fcombiner-async/variants/main0.c	1	0	1.43	1.34	0.03	54460416	24	16
stage-0	cat	tso	correct/litmus/SB/variants/sb0.c	1	0	0.05	0.03	0.01	52576256	4	0
stage-0	caat	tso	correct/litmus/SB/variants/sb0.c	1	0	0.05	0.03	0.01	52658176	4	0
stage-0	cat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	1	0	0.05	0.03	0.01	52494336	4	0
stage-0	caat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	1	0	0.05	0.03	0.01	52690944	4	0
stage-0	cat	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	1	0	0.06	0.04	0.01	53886976	2	6
stage-0	caat	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	1	0	0.07	0.05	0.01	53821440	2	6
stage-0	cat	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	1	0	0.06	0.04	0.01	53575680	8	6
stage-0	caat	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	1	0	0.08	0.05	0.01	53542912	8	6
stage-0	cat	tso	correct/data-structures/fcombiner-async/variants/main0.c	1	42	0.08	0.06	0.02	54525952	0	0
stage-0	caat	tso	correct/data-structures/fcombiner-async/variants/main0.c	1	42	0.10	0.08	0.02	54444032	0	0
stage-0	cat	pso	correct/litmus/SB/variants/sb0.c	1	0	0.05	0.03	0.01	52510720	4	0
stage-0	caat	pso	correct/litmus/SB/variants/sb0.c	1	0	0.05	0.03	0.01	52641792	4	0
stage-0	cat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	1	0	0.05	0.03	0.01	52609024	4	0
stage-0	caat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	1	0	0.05	0.03	0.01	52690944	4	0
stage-0	cat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	1	0	0.06	0.04	0.01	53755904	2	6
stage-0	caat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	1	0	0.07	0.05	0.01	53723136	2	6
stage-0	cat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	1	0	0.06	0.04	0.01	53493760	11	7
stage-0	caat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	1	0	0.08	0.05	0.01	53428224	11	7
stage-0	cat	pso	correct/data-structures/fcombiner-async/variants/main0.c	1	42	0.08	0.06	0.02	54558720	0	0
stage-0	caat	pso	correct/data-structures/fcombiner-async/variants/main0.c	1	42	0.11	0.08	0.02	54493184	0	0
stage-0	caat	sc	correct/litmus/SB/variants/sb0.c	2	0	0.05	0.03	0.01	52576256	3	0
stage-0	cat	sc	correct/litmus/SB/variants/sb0.c	2	0	0.05	0.03	0.01	52592640	3	0
stage-0	caat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	2	0	0.05	0.03	0.01	52592640	4	0
stage-0	cat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	2	0	0.05	0.03	0.01	52510720	4	0
stage-0	caat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	2	0	0.07	0.04	0.01	53706752	2	6
stage-0	cat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	2	0	0.06	0.03	0.01	53772288	2	6
stage-0	caat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	2	0	0.07	0.05	0.01	53624832	8	6
stage-0	cat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	2	0	0.06	0.04	0.01	53624832	8	6
stage-0	caat	sc	correct/data-structures/fcombiner-async/variants/main0.c	2	0	1.42	1.33	0.03	54444032	24	16
stage-0	cat	sc	correct/data-structures/fcombiner-async/variants/main0.c	2	0	0.16	0.13	0.02	54476800	24	16
stage-0	caat	tso	correct/litmus/SB/variants/sb0.c	2	0	0.05	0.03	0.01	52477952	4	0
stage-0	cat	tso	correct/litmus/SB/variants/sb0.c	2	0	0.05	0.03	0.01	52592640	4	0
stage-0	caat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	2	0	0.05	0.03	0.01	52543488	4	0
stage-0	cat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	2	0	0.05	0.03	0.01	52559872	4	0
stage-0	caat	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	2	0	0.07	0.05	0.01	53706752	2	6
stage-0	cat	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	2	0	0.06	0.04	0.01	53772288	2	6
stage-0	caat	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	2	0	0.08	0.05	0.01	53641216	8	6
stage-0	cat	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	2	0	0.07	0.04	0.01	53624832	8	6
stage-0	caat	tso	correct/data-structures/fcombiner-async/variants/main0.c	2	42	0.11	0.08	0.02	54378496	0	0
stage-0	cat	tso	correct/data-structures/fcombiner-async/variants/main0.c	2	42	0.30	0.08	0.03	54575104	0	0
stage-0	caat	pso	correct/litmus/SB/variants/sb0.c	2	0	0.08	0.04	0.02	52576256	4	0
stage-0	cat	pso	correct/litmus/SB/variants/sb0.c	2	0	0.08	0.03	0.02	52543488	4	0
stage-0	caat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	2	0	0.08	0.03	0.02	52527104	4	0
stage-0	cat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	2	0	0.06	0.03	0.02	52707328	4	0
stage-0	caat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	2	0	0.09	0.05	0.02	53706752	2	6
stage-0	cat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	2	0	0.08	0.04	0.02	53936128	2	6
stage-0	caat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	2	0	0.22	0.07	0.02	53542912	11	7
stage-0	cat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	2	0	0.10	0.05	0.02	53624832	11	7
stage-0	caat	pso	correct/data-structures/fcombiner-async/variants/main0.c	2	42	0.13	0.08	0.02	54542336	0	0
stage-0	cat	pso	correct/data-structures/fcombiner-async/variants/main0.c	2	42	0.09	0.06	0.02	54509568	0	0
stage-0	cat	sc	correct/litmus/SB/variants/sb0.c	3	0	0.05	0.03	0.01	52625408	3	0
stage-0	caat	sc	correct/litmus/SB/variants/sb0.c	3	0	0.05	0.03	0.01	52576256	3	0
stage-0	cat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	3	0	0.05	0.03	0.01	52707328	4	0
stage-0	caat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	3	0	0.05	0.03	0.01	52576256	4	0
stage-0	cat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	3	0	0.06	0.04	0.01	53821440	2	6
stage-0	caat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	3	0	0.07	0.04	0.02	53755904	2	6
stage-0	cat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	3	0	0.06	0.04	0.01	53575680	8	6
stage-0	caat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	3	0	0.07	0.05	0.01	53592064	8	6
stage-0	cat	sc	correct/data-structures/fcombiner-async/variants/main0.c	3	0	0.17	0.13	0.02	54427648	24	16
stage-0	caat	sc	correct/data-structures/fcombiner-async/variants/main0.c	3	0	1.51	1.36	0.04	54460416	24	16
stage-0	cat	tso	correct/litmus/SB/variants/sb0.c	3	0	0.05	0.03	0.01	52477952	4	0
stage-0	caat	tso	correct/litmus/SB/variants/sb0.c	3	0	0.05	0.03	0.01	52559872	4	0
stage-0	cat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	3	0	0.05	0.03	0.01	52723712	4	0
stage-0	caat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	3	0	0.05	0.03	0.01	52559872	4	0
stage-0	cat	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	3	0	0.06	0.04	0.01	53837824	2	6
stage-0	caat	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	3	0	0.07	0.05	0.01	53772288	2	6
stage-0	cat	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	3	0	0.06	0.04	0.01	53526528	8	6
stage-0	caat	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	3	0	0.08	0.05	0.01	53559296	8	6
stage-0	cat	tso	correct/data-structures/fcombiner-async/variants/main0.c	3	42	0.09	0.06	0.02	54542336	0	0
stage-0	caat	tso	correct/data-structures/fcombiner-async/variants/main0.c	3	42	0.11	0.08	0.02	54476800	0	0
stage-0	cat	pso	correct/litmus/SB/variants/sb0.c	3	0	0.05	0.03	0.01	52543488	4	0
stage-0	caat	pso	correct/litmus/SB/variants/sb0.c	3	0	0.05	0.03	0.01	52559872	4	0
stage-0	cat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	3	0	0.05	0.03	0.01	52592640	4	0
stage-0	caat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	3	0	0.05	0.03	0.01	52494336	4	0
stage-0	cat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	3	0	0.06	0.04	0.01	53723136	2	6
stage-0	caat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	3	0	0.07	0.05	0.01	53772288	2	6
stage-0	cat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	3	0	0.06	0.04	0.01	53477376	11	7
stage-0	caat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	3	0	0.08	0.06	0.01	53608448	11	7
stage-0	cat	pso	correct/data-structures/fcombiner-async/variants/main0.c	3	42	0.08	0.05	0.01	54542336	0	0
stage-0	caat	pso	correct/data-structures/fcombiner-async/variants/main0.c	3	42	0.11	0.08	0.02	54444032	0	0
stage-0	caat	sc	correct/litmus/SB/variants/sb0.c	4	0	0.06	0.03	0.02	52576256	3	0
stage-0	cat	sc	correct/litmus/SB/variants/sb0.c	4	0	0.05	0.03	0.01	52559872	3	0
stage-0	caat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	4	0	0.05	0.03	0.01	52527104	4	0
stage-0	cat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	4	0	0.05	0.03	0.01	52625408	4	0
stage-0	caat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	4	0	0.07	0.04	0.02	53821440	2	6
stage-0	cat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	4	0	0.06	0.04	0.01	53821440	2	6
stage-0	caat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	4	0	0.07	0.05	0.01	53592064	8	6
stage-0	cat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	4	0	0.06	0.04	0.01	53444608	8	6
stage-0	caat	sc	correct/data-structures/fcombiner-async/variants/main0.c	4	0	1.41	1.32	0.03	54591488	24	16
stage-0	cat	sc	correct/data-structures/fcombiner-async/variants/main0.c	4	0	0.16	0.13	0.01	54444032	24	16
stage-0	caat	tso	correct/litmus/SB/variants/sb0.c	4	0	0.05	0.03	0.01	52559872	4	0
stage-0	cat	tso	correct/litmus/SB/variants/sb0.c	4	0	0.05	0.03	0.01	52609024	4	0
stage-0	caat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	4	0	0.05	0.03	0.01	52658176	4	0
stage-0	cat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	4	0	0.05	0.03	0.01	52576256	4	0
stage-0	caat	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	4	0	0.07	0.04	0.01	53755904	2	6
stage-0	cat	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	4	0	0.06	0.04	0.01	53821440	2	6
stage-0	caat	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	4	0	0.08	0.05	0.01	53477376	8	6
stage-0	cat	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	4	0	0.06	0.04	0.01	53444608	8	6
stage-0	caat	tso	correct/data-structures/fcombiner-async/variants/main0.c	4	42	0.10	0.08	0.02	54444032	0	0
stage-0	cat	tso	correct/data-structures/fcombiner-async/variants/main0.c	4	42	0.08	0.06	0.01	54476800	0	0
stage-0	caat	pso	correct/litmus/SB/variants/sb0.c	4	0	0.05	0.03	0.01	52510720	4	0
stage-0	cat	pso	correct/litmus/SB/variants/sb0.c	4	0	0.05	0.03	0.01	52592640	4	0
stage-0	caat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	4	0	0.05	0.03	0.01	52592640	4	0
stage-0	cat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	4	0	0.05	0.03	0.01	52510720	4	0
