stage	model	program	status	initialize	unchanged	insert	rollback	rollback_insert	rebuild	evicted	oracle	eval_ops	value_changes	queue_pushes	offline_evals
stage-0	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	0	1	0	3	0	1	17	0	0	63	67	63	18
stage-0	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	0	1	1	5	0	4	24	0	0	187	204	187	25
stage-0	sc	correct/data-structures/fcombiner-async/variants/main0.c	0	1	8	20	0	176	122	0	0	4489	5090	4489	123
stage-0	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	0	1	0	3	0	1	17	0	0	185	164	185	18
stage-0	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	0	1	1	5	0	4	24	0	0	455	415	455	25
stage-0	tso	correct/data-structures/fcombiner-async/variants/main0.c	42	1	2	1	0	3	3	0	0	246	239	246	4
stage-0	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	0	1	0	3	0	1	17	0	0	192	167	192	18
stage-0	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	0	1	1	5	0	4	24	0	0	498	455	498	25
stage-0	pso	correct/data-structures/fcombiner-async/variants/main0.c	42	1	2	1	0	3	3	0	0	260	257	260	4
stage-1	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	0	1	0	3	0	1	17	0	0	63	67	63	18
stage-1	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	0	1	1	5	0	4	24	0	0	187	204	187	25
stage-1	sc	correct/data-structures/fcombiner-async/variants/main0.c	0	1	8	20	0	176	122	0	0	4489	5090	4489	123
stage-1	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	0	1	0	3	0	1	17	0	0	185	164	185	18
stage-1	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	0	1	1	5	0	4	24	0	0	455	415	455	25
stage-1	tso	correct/data-structures/fcombiner-async/variants/main0.c	42	1	2	1	0	3	3	0	0	246	239	246	4
stage-1	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	0	1	0	3	0	1	17	0	0	192	167	192	18
stage-1	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	0	1	1	5	0	4	24	0	0	498	455	498	25
stage-1	pso	correct/data-structures/fcombiner-async/variants/main0.c	42	1	2	1	0	3	3	0	0	260	257	260	4
stage-2	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	0	1	0	3	0	1	17	0	0	63	67	63	18
stage-2	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	0	1	1	5	0	4	24	0	0	187	204	187	25
stage-2	sc	correct/data-structures/fcombiner-async/variants/main0.c	0	1	8	20	0	176	122	0	0	4489	5090	4489	123
stage-2	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	0	1	0	3	0	1	17	0	0	185	164	185	18
stage-2	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	0	1	1	5	0	4	24	0	0	455	415	455	25
stage-2	tso	correct/data-structures/fcombiner-async/variants/main0.c	42	1	2	1	0	3	3	0	0	246	239	246	4
stage-2	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	0	1	0	3	0	1	17	0	0	192	167	192	18
stage-2	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	0	1	1	5	0	4	24	0	0	498	455	498	25
stage-2	pso	correct/data-structures/fcombiner-async/variants/main0.c	42	1	2	1	0	3	3	0	0	260	257	260	4
stage-6	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	0	1	0	3	0	0	1	0	0	42	45	42	2	0	1585167	135083	30708	542418	24625	0	165333	375	1078417	169166	136375	5
stage-6	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	0	1	1	4	0	1	6	0	0	100	109	100	7	0	3803168	454625	51501	1545708	41375	5708	408125	2540	2020959	844250	456126	13
stage-6	sc	correct/data-structures/fcombiner-async/variants/main0.c	0	1	8	12	0	10	12	0	0	421	492	421	13	0	73710666	4251499	879872	31943538	494459	140916	5090668	32333	30617208	33020044	4253791	43
stage-6	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	0	1	0	3	0	0	1	0	0	136	120	136	2	0	4005914	262959	88750	2544916	54083	0	219833	375	3308667	133250	264417	5
stage-6	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	0	1	1	4	0	1	6	0	0	248	227	248	7	0	5894376	846334	127124	2846417	95541	12583	583171	3874	3174085	1153666	847790	13
stage-6	tso	correct/data-structures/fcombiner-async/variants/main0.c	42	1	2	1	0	1	1	0	0	121	118	121	2	0	9669167	612959	222377	5974667	96250	25792	578502	5583	4394625	3947542	614458	6
stage-6	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	0	1	0	3	0	1	17	0	0	192	167	192	18	0	7935875	2245084	244168	2291000	169129	12583	861836	5498	3226212	1363539	2246751	22
stage-6	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	0	1	1	5	0	4	24	0	0	498	455	498	25	0	14510249	3303751	321456	5681332	239416	36957	1322917	9501	5335332	4195251	3306418	35
stage-6	pso	correct/data-structures/fcombiner-async/variants/main0.c	42	1	2	1	0	3	3	0	0	260	257	260	4	0	18447374	1089917	462375	11244917	168708	89125	928292	6582	3961749	12238791	1091293	10
