stage	samples	caat_suite_seconds_mean	suite_speedup_vs_stage0	sc_fcomb_seconds_mean	sc_fcomb_seconds_median	sc_fcomb_speedup_vs_stage0	caat_peak_rss_mib_mean	semantic_mismatches
stage-0	150	2.47	1	1.442	1.43	1	52.015625	0
stage-1	150	2.43	1.01646090534979	1.46	1.47	0.972789115646258	51.971875	0
stage-2	150	2.366	1.04395604395604	1.408	1.41	1.01418439716312	51.99375	0
stage-3	150	2.4	1.02916666666667	1.442	1.41	1.01418439716312	52.046875	0
stage-4	150	1.968	1.25508130081301	1.138	1.14	1.25438596491228	51.98125	0
stage-5	150	1.91	1.29319371727749	1.062	1.05	1.36190476190476	51.975	0
stage-6	150	1.064	2.32142857142857	0.17	0.17	8.41176470588235	52.01875	0
stage-7	150	0.97	2.54639175257732	0.176	0.18	7.94444444444444	52.009375	0
stage-8	150	1.05	2.35238095238095	0.198	0.19	7.52631578947368	51.98125	0
stage-9	150	1.22	2.02459016393443	0.204	0.19	7.52631578947368	52.0375	0
stage-10	150	0.984	2.51016260162602	0.176	0.18	7.94444444444444	52.003125	0
stage-11	150	1.096	2.2536496350365	0.192	0.19	7.52631578947368	51.9875	0
stage-11b	150	0.802	3.07980049875312	0.096	0.1	14.3	51.96875	0
stage-11c	150	1.01	2.44554455445545	0.11	0.11	13	52.00625	0
