backend	task_yaml	runs	family	source_bytes	source_lines	adapter_source_lines	adapter_transitive_lines	all_repetitions_solved	statuses	median_wall_seconds	median_cpu_seconds	median_memory_bytes
caat-pso	c/goblint-regression/13-privatized_01-priv_nr_true.yml	5	goblint-regression	1061	42			true	true:5	0.0607834039	0.04616	26226688
caat-pso	c/goblint-regression/13-privatized_18-first-reads_true.yml	5	goblint-regression	1011	45			true	true:5	0.0672328691	0.046709	26222592
caat-pso	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	5	goblint-regression	977	44			true	false(unreach-call):5	0.063893721	0.046756	26226688
caat-pso	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	5	goblint-regression	974	44			true	false(unreach-call):5	0.0638571421	0.045918	26226688
caat-pso	c/goblint-regression/13-privatized_19-publish-precision_true.yml	5	goblint-regression	1081	43			true	true:5	0.0619939251	0.04676	26230784
caat-pso	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	5	goblint-regression	1051	42			true	false(unreach-call):5	0.0621218018	0.046045	26226688
caat-pso	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	5	goblint-regression	1048	42			true	false(unreach-call):5	0.061231479	0.046082	26222592
caat-pso	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	5	goblint-regression	1051	42			true	false(unreach-call):5	0.064332233	0.045724	26226688
caat-pso	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	5	goblint-regression	1048	42			true	false(unreach-call):5	0.059847943	0.045767	26238976
caat-pso	c/goblint-regression/13-privatized_20-publish-regression_true.yml	5	goblint-regression	1284	46			true	true:5	0.0617205561	0.047498	26230784
caat-pso	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	5	goblint-regression	1821	66			true	true:5	0.197250322	0.185845	26292224
caat-pso	c/goblint-regression/13-privatized_25-struct_nr_true.yml	5	goblint-regression	1138	46			true	true:5	0.0650795188	0.047188	26230784
caat-pso	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	5	goblint-regression	2193	72			true	true:5	0.565772069	0.551205	26329088
caat-pso	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	5	goblint-regression	1674	53			true	true:5	0.073341483	0.060081	26251264
caat-pso	c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	5	goblint-regression	1337	51			true	true:5	0.0713240819	0.048447	26234880
caat-pso	c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	5	goblint-regression	1267	46			true	true:5	0.0715296129	0.055936	26251264
caat-pso	c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	5	goblint-regression	1377	53			true	true:5	0.0751460081	0.055768	26263552
caat-pso	c/goblint-regression/13-privatized_33-traces-v-matters_true.yml	5	goblint-regression	1097	42			true	true:5	0.060078244	0.047028	26218496
caat-pso	c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	5	goblint-regression	1379	54			true	true:5	0.059594691	0.047528	26234880
caat-pso	c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	5	goblint-regression	1041	41			true	true:5	0.062798898	0.048826	26206208
caat-pso	c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	5	goblint-regression	987	39			true	true:5	0.0634902501	0.048704	26193920
caat-pso	c/goblint-regression/13-privatized_37-traces-ex-4_true.yml	5	goblint-regression	1041	41			true	true:5	0.066043287	0.04861	26210304
caat-pso	c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	5	goblint-regression	1041	41			true	true:5	0.0627688279	0.049367	26210304
caat-pso	c/goblint-regression/13-privatized_40-traces-ex-6_true.yml	5	goblint-regression	959	38			true	true:5	0.0614010759	0.046674	26181632
caat-pso	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	5	goblint-regression	945	37			true	false(unreach-call):5	0.065328866	0.046483	26189824
caat-pso	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	5	goblint-regression	942	37			true	false(unreach-call):5	0.0625114499	0.046621	26189824
caat-pso	c/goblint-regression/13-privatized_42-traces-ex-mini_true.yml	5	goblint-regression	1092	42			true	true:5	0.061513056	0.04863	26206208
caat-pso	c/goblint-regression/13-privatized_44-traces-mine2_true.yml	5	goblint-regression	973	39			true	true:5	0.0603508609	0.045221	26181632
caat-pso	c/goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	5	goblint-regression	1054	41			true	true:5	0.064696694	0.047993	26206208
caat-pso	c/goblint-regression/13-privatized_46-refine-protected1_true.yml	5	goblint-regression	909	39			true	true:5	0.062083988	0.046491	26177536
caat-pso	c/goblint-regression/13-privatized_47-refine-protected2_true.yml	5	goblint-regression	866	37			true	true:5	0.057862378	0.046656	26185728
caat-pso	c/goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	5	goblint-regression	816	36			true	true:5	0.0574395792	0.045107	26173440
caat-pso	c/goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	5	goblint-regression	967	39			true	true:5	0.066037978	0.046399	26177536
caat-pso	c/goblint-regression/13-privatized_66-mine-W-init_true.yml	5	goblint-regression	621	27			true	true:5	0.040269573	0.032387	26144768
caat-pso	c/goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	5	goblint-regression	1532	77			true	true:5	0.0625357078	0.047959	26300416
caat-pso	c/goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml	5	goblint-regression	1250	72			true	true:5	0.0639422131	0.047434	26279936
caat-pso	c/goblint-regression/28-race_reach_01-simple_racing.yml	5	goblint-regression	31261	713			false	OUT OF MEMORY:5			
caat-pso	c/goblint-regression/28-race_reach_06-cond_racing1.yml	5	goblint-regression	42556	954			false	OUT OF MEMORY:5			
caat-pso	c/goblint-regression/28-race_reach_11-ptr_racing.yml	5	goblint-regression	31273	714			false	OUT OF MEMORY:5			
caat-pso	c/goblint-regression/28-race_reach_21-deref_read_racing.yml	5	goblint-regression	31073	711			true	false(unreach-call):5	1.76522071	1.75078	56078336
caat-pso	c/goblint-regression/28-race_reach_24-sound_lock_racing.yml	5	goblint-regression	31338	716			false	OUT OF MEMORY:5			
caat-pso	c/goblint-regression/28-race_reach_37-indirect_racing.yml	5	goblint-regression	31148	713			false	OUT OF MEMORY:5			
caat-pso	c/goblint-regression/28-race_reach_45-escape_racing.yml	5	goblint-regression	31190	715			true	false(unreach-call):5	0.0591607299	0.046128	26247168
caat-pso	c/goblint-regression/28-race_reach_46-escape_racefree.yml	5	goblint-regression	31190	715			true	true:5	0.0646914039	0.047676	26243072
caat-pso	c/goblint-regression/36-apron_11-traces-max-simple_true.yml	5	goblint-regression	932	40			true	true:5	0.0638515041	0.046292	26189824
caat-pso	c/goblint-regression/36-apron_16-traces-unprot2_true.yml	5	goblint-regression	815	37			true	true:5	0.062324628	0.044577	26136576
caat-pso	c/goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	5	goblint-regression	1260	50			true	false(unreach-call):5	0.0625916698	0.046743	26222592
caat-pso	c/goblint-regression/36-apron_21-traces-cluster-based_true.yml	5	goblint-regression	1930	81			true	true:5	0.0726155981	0.058817	26304512
caat-pso	c/goblint-regression/36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	5	goblint-regression	1933	79			true	true:5	0.0631482881	0.047806	26275840
