backend	repetition	runs	solved	timeouts	ooms	total_cpu_seconds_observed	total_wall_seconds_observed	maximum_peak_rss_bytes	median_peak_rss_bytes
caat-pso	r01	96	79	12	5	808.624374	810.077442	3.99999795e+09	26259456
caat-pso	r02	96	79	12	5	809.02915	810.511705	3.99999795e+09	26263552
caat-pso	r03	96	79	12	5	808.706467	810.174237	3.99999795e+09	26261504
caat-pso	r04	96	79	12	5	808.399612	810.002435	3.99999795e+09	26267648
caat-pso	r05	96	79	12	5	808.976446	810.559219	3.99999795e+09	26263552
cat-pso	r01	96	82	9	5	712.826507	714.316335	3.99999795e+09	26228736
cat-pso	r02	96	82	9	5	712.547305	714.138553	3.99999795e+09	26226688
cat-pso	r03	96	82	9	5	712.49542	714.044298	3.99999795e+09	26228736
cat-pso	r04	96	82	9	5	712.329541	713.945626	3.99999795e+09	26226688
cat-pso	r05	96	82	9	5	712.307037	713.836715	3.99999795e+09	26228736
