backend	task_yaml	runs	family	source_bytes	source_lines	adapter_source_lines	adapter_transitive_lines	all_repetitions_solved	statuses	median_wall_seconds	median_cpu_seconds	median_memory_bytes
caat-sc	c/goblint-regression/13-privatized_01-priv_nr_true.yml	5	goblint-regression	1061	42			true	true:5	0.0631278639	0.046207	26021888
caat-sc	c/goblint-regression/13-privatized_18-first-reads_true.yml	5	goblint-regression	1011	45			true	true:5	0.061037584	0.045433	26025984
caat-sc	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	5	goblint-regression	977	44			true	false(unreach-call):5	0.0622062031	0.046315	26025984
caat-sc	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	5	goblint-regression	974	44			true	false(unreach-call):5	0.0654928549	0.04667	26030080
caat-sc	c/goblint-regression/13-privatized_19-publish-precision_true.yml	5	goblint-regression	1081	43			true	true:5	0.0609322351	0.046658	26025984
caat-sc	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	5	goblint-regression	1051	42			true	false(unreach-call):5	0.0617987721	0.046667	26034176
caat-sc	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	5	goblint-regression	1048	42			true	false(unreach-call):5	0.061793997	0.046726	26030080
caat-sc	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	5	goblint-regression	1051	42			true	false(unreach-call):5	0.0628892989	0.04673	26030080
caat-sc	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	5	goblint-regression	1048	42			true	false(unreach-call):5	0.064310326	0.046537	26038272
caat-sc	c/goblint-regression/13-privatized_20-publish-regression_true.yml	5	goblint-regression	1284	46			true	true:5	0.06054816	0.045995	26030080
caat-sc	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	5	goblint-regression	1821	66			true	true:5	0.063788889	0.04862	26079232
caat-sc	c/goblint-regression/13-privatized_25-struct_nr_true.yml	5	goblint-regression	1138	46			true	true:5	0.0622208279	0.046506	26021888
caat-sc	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	5	goblint-regression	2193	72			true	true:5	0.0670789392	0.053006	26128384
caat-sc	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	5	goblint-regression	1674	53			true	true:5	0.0601423359	0.047045	26050560
caat-sc	c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	5	goblint-regression	1337	51			true	true:5	0.0594893389	0.046988	26030080
caat-sc	c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	5	goblint-regression	1267	46			true	true:5	0.0619730221	0.046648	26046464
caat-sc	c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	5	goblint-regression	1377	53			true	true:5	0.061833631	0.047362	26058752
caat-sc	c/goblint-regression/13-privatized_33-traces-v-matters_true.yml	5	goblint-regression	1097	42			true	true:5	0.062750984	0.046606	26009600
caat-sc	c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	5	goblint-regression	1379	54			true	true:5	0.0591112089	0.046451	26038272
caat-sc	c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	5	goblint-regression	1041	41			true	true:5	0.0585213499	0.04525	25997312
caat-sc	c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	5	goblint-regression	987	39			true	true:5	0.0618728551	0.04644	25989120
caat-sc	c/goblint-regression/13-privatized_37-traces-ex-4_true.yml	5	goblint-regression	1041	41			true	true:5	0.0618556861	0.046157	26005504
caat-sc	c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	5	goblint-regression	1041	41			true	true:5	0.061814127	0.046728	26001408
caat-sc	c/goblint-regression/13-privatized_40-traces-ex-6_true.yml	5	goblint-regression	959	38			true	true:5	0.0602701169	0.046431	25989120
caat-sc	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	5	goblint-regression	945	37			true	false(unreach-call):5	0.063069182	0.046474	25993216
caat-sc	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	5	goblint-regression	942	37			true	false(unreach-call):5	0.0591457991	0.046438	25993216
caat-sc	c/goblint-regression/13-privatized_42-traces-ex-mini_true.yml	5	goblint-regression	1092	42			true	true:5	0.0599384441	0.046279	26013696
caat-sc	c/goblint-regression/13-privatized_44-traces-mine2_true.yml	5	goblint-regression	973	39			true	true:5	0.0661690049	0.046374	25985024
