backend	repetition	runs	solved	timeouts	ooms	total_cpu_seconds_observed	total_wall_seconds_observed	maximum_peak_rss_bytes	median_peak_rss_bytes
caat-sc	r01	96	90	1	5	238.783699	240.262991	3.99999795e+09	26062848
caat-sc	r02	96	90	1	5	238.712783	240.198831	3.99999795e+09	26058752
caat-sc	r03	96	90	1	5	238.535099	240.091674	3.99999795e+09	26064896
caat-sc	r04	96	90	1	5	239.285572	240.740408	3.99999795e+09	26058752
caat-sc	r05	96	90	1	5	238.760997	240.340901	3.99999795e+09	26060800
cat-sc	r01	96	85	6	5	553.515453	555.003637	3.99999795e+09	26042368
cat-sc	r02	96	85	6	5	553.455761	555.036295	3.99999795e+09	26044416
cat-sc	r03	96	85	6	5	553.712229	555.208312	3.99999795e+09	26044416
cat-sc	r04	96	85	6	5	553.451514	554.941411	3.99999795e+09	26040320
cat-sc	r05	96	85	6	5	553.558663	555.13198	3.99999795e+09	26042368
genmc-sc	r01	96	96	0	0	36.427938	37.8004414	1.0410967e+09	25948160
genmc-sc	r02	96	96	0	0	36.521539	37.9466792	1.04111309e+09	25939968
genmc-sc	r03	96	96	0	0	36.471254	37.9667027	1.04114586e+09	25944064
genmc-sc	r04	96	96	0	0	36.44402	38.0038963	1.04102298e+09	25948160
genmc-sc	r05	96	96	0	0	36.516043	38.0741055	1.04113357e+09	25942016
