model	metric	tasks	spearman_rho	bootstrap_95_ci_low	bootstrap_95_ci_high
sc	max_stable_events	83	-0.487744	-0.662512	-0.277946
sc	max_inactive_events	83	-0.344328	-0.549101	-0.113194
sc	max_current_base_bytes	83	-0.487744	-0.659841	-0.276144
sc	max_history_base_bytes	83	-0.487744	-0.66296	-0.279827
sc	max_base_relation_pairs	83	-0.469858	-0.649207	-0.259793
sc	max_base_relation_density_ppm	83	-0.296992	-0.499739	-0.0746985
sc	rebuilds	83	-0.236113	-0.38056	-0.156735
sc	profiled_queries	83	-0.413402	-0.596018	-0.209057
tso	max_stable_events	80	-0.44095	-0.632171	-0.212359
tso	max_inactive_events	80	-0.225321	-0.463422	0.0442291
tso	max_current_base_bytes	80	-0.44095	-0.629627	-0.210946
tso	max_history_base_bytes	80	-0.44095	-0.632443	-0.210564
tso	max_base_relation_pairs	80	-0.438736	-0.633823	-0.204384
tso	max_base_relation_density_ppm	80	-0.331175	-0.539265	-0.0906093
tso	rebuilds	80	-0.182706	-0.347827	-0.168147
tso	profiled_queries	80	-0.401052	-0.596603	-0.170939
pso	max_stable_events	77	0.451405	0.228515	0.631891
pso	max_inactive_events	77	0.411759	0.178927	0.60923
pso	max_current_base_bytes	77	0.451405	0.231322	0.633783
pso	max_history_base_bytes	77	0.457436	0.236918	0.634417
pso	max_base_relation_pairs	77	0.461981	0.248735	0.643577
pso	max_base_relation_density_ppm	77	0.360944	0.154822	0.547789
pso	rebuilds	77	0.444387	0.214158	0.636499
pso	profiled_queries	77	0.48309	0.267254	0.660243
