model	metric	quartile_bin	tasks	metric_min	metric_max	wall_ratio_caat_over_cat_geomean	memory_ratio_caat_over_cat_geomean
sc	max_stable_events	Q1	30	0.0	0.0	1.0142	1.00066
sc	max_stable_events	Q2	12	8.0	14.0	0.999192	1.00066
sc	max_stable_events	Q3	20	15.0	29.0	0.98752	1.00057
sc	max_stable_events	Q4	21	30.0	8029.0	0.555299	0.958897
sc	max_base_relation_density_ppm	Q1	30	0.0	0.0	1.0142	1.00066
sc	max_base_relation_density_ppm	Q2	12	323013.0	531855.0	0.902928	0.928758
sc	max_base_relation_density_ppm	Q3	20	544378.0	632231.0	0.756008	1.00064
sc	max_base_relation_density_ppm	Q4	21	639053.0	872781.0	0.758862	1.00057
tso	max_stable_events	Q1	30	0.0	0.0	1.01252	1.00057
tso	max_stable_events	Q2	10	8.0	13.0	0.968926	1.0007
tso	max_stable_events	Q3	20	14.0	26.0	1.01236	1.00077
tso	max_stable_events	Q4	20	28.0	4029.0	0.573226	0.979674
tso	max_base_relation_density_ppm	Q1	30	0.0	0.0	1.01252	1.00057
tso	max_base_relation_density_ppm	Q2	10	325992.0	531855.0	0.778655	0.958791
tso	max_base_relation_density_ppm	Q3	20	544378.0	632231.0	0.826616	1.00073
tso	max_base_relation_density_ppm	Q4	20	639053.0	872781.0	0.783122	1.0009
pso	max_stable_events	Q1	20	0.0	8.0	0.987903	1.00098
pso	max_stable_events	Q2	21	10.0	21.0	1.01491	1.00116
pso	max_stable_events	Q3	18	22.0	29.0	0.995178	1.00131
pso	max_stable_events	Q4	18	30.0	433.0	1.29707	1.00135
pso	max_base_relation_density_ppm	Q1	20	0.0	544378.0	0.982913	1.00094
pso	max_base_relation_density_ppm	Q2	19	555555.0	612244.0	1.06245	1.00123
pso	max_base_relation_density_ppm	Q3	19	614958.0	642857.0	1.02185	1.00125
pso	max_base_relation_density_ppm	Q4	19	648437.0	852352.0	1.19881	1.00136
