model	task_yaml	cat_wall_seconds	caat_wall_seconds	wall_ratio_caat_over_cat	cat_memory_bytes	caat_memory_bytes	memory_ratio_caat_over_cat	max_stable_events	max_inactive_events	max_current_base_bytes	max_history_base_bytes	max_base_relation_pairs	max_base_relation_density_ppm	rebuilds	profiled_queries
sc	c/ldv-races/race-2_1-container_of.yml	0.06785353203304112	0.06531729712150991	0.9626219175989807	26312704.0	26333184.0	1.0007783312577834	0	0	0	0	0	0	0	0
sc	c/pthread-theta/unwind2-100.yml	0.06206409283913672	0.06255400483496487	1.007893646284301	26099712.0	26132480.0	1.0012554927809165	0	0	0	0	0	0	0	0
sc	c/pthread-ext/48_ticket_lock_low_contention_vs-pthread.yml	0.06236813892610371	0.06515767704695463	1.0447269738825473	25997312.0	26013696.0	1.000630219001103	0	0	0	0	0	0	0	0
sc	c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	0.061627388931810856	0.05852134991437197	0.9495996979382716	25985024.0	25997312.0	1.0004728877679698	20	5	1280	1280	158	628099	0	5
sc	c/goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	0.06114784209057689	0.06485652201808989	1.0606510352731569	25964544.0	25968640.0	1.0001577535888941	0	0	0	0	0	0	0	0
sc	c/ldv-races/race-1_2-join.yml	0.060959255788475275	0.06518167699687183	1.0692662853865553	26255360.0	26263552.0	1.0003120124804992	23	0	1472	1472	272	514177	0	1
sc	c/goblint-regression/13-privatized_40-traces-ex-6_true.yml	0.057333484990522265	0.060270116897299886	1.0512201884686247	25972736.0	25989120.0	1.0006308153288126	14	0	896	896	114	581632	0	3
sc	c/goblint-regression/13-privatized_01-priv_nr_true.yml	0.062459279084578156	0.06312786391936243	1.0107043315994557	26005504.0	26021888.0	1.0006300204756655	16	0	1024	1024	122	476562	0	3
sc	c/ldv-races/race-3_1-container_of-global.yml	0.06763355783186853	0.06477229110896587	0.9576945703490044	26304512.0	26324992.0	1.0007785736530677	0	0	0	0	0	0	0	0
sc	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	0.05764294508844614	0.06306918198242784	1.0941353167444132	25968640.0	25993216.0	1.0009463722397476	0	0	0	0	0	0	0	0
sc	c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	0.06893629999831319	0.061833631014451385	0.8969676500764386	26046464.0	26058752.0	1.0004717722912408	30	12	1920	1920	248	642857	0	8
sc	c/goblint-regression/36-apron_16-traces-unprot2_true.yml	0.05880752205848694	0.05982457287609577	1.0172945701843605	25923584.0	25927680.0	1.000158002844051	0	0	0	0	0	0	0	0
sc	c/pthread/singleton_with-uninit-problems.yml	0.06710003898479044	0.06348695605993271	0.9461537879929293	26255360.0	26263552.0	1.0003120124804992	44	7	2816	2816	1630	841942	0	9
sc	c/pthread-ext/02_inc_cas.yml	0.05745052685961127	0.05715125007554889	0.9947907042733705	25997312.0	26021888.0	1.0009453285016543	0	0	0	0	0	0	0	0
sc	c/goblint-regression/36-apron_11-traces-max-simple_true.yml	0.06538556003943086	0.062384537886828184	0.9541026772456656	25968640.0	25993216.0	1.0009463722397476	12	0	768	768	82	569444	0	3
sc	c/pthread-ext/45_monabsex1_vs.yml	0.06243700091727078	0.05917094019241631	0.9476903009934444	25993216.0	26005504.0	1.00047273873306	0	0	0	0	0	0	0	0
sc	c/pthread-ext/48_ticket_lock_low_contention_vs.yml	0.05627243407070637	0.056849961169064045	1.010263055222243	26021888.0	26034176.0	1.0004722178498346	0	0	0	0	0	0	0	0
sc	c/pthread/triangular-2.yml	10.315243134042248	0.9343440418597311	0.09057896452059569	26075136.0	26095616.0	1.0007854225573358	68	45	8704	8704	2708	711468	0	7732
sc	c/goblint-regression/13-privatized_42-traces-ex-mini_true.yml	0.06213376298546791	0.0599384440574795	0.9646678581417665	25997312.0	26013696.0	1.000630219001103	19	0	1216	1216	192	531855	0	3
sc	c/goblint-regression/13-privatized_19-publish-precision_true.yml	0.05941848107613623	0.06093223509378731	1.0254761479969745	26009600.0	26025984.0	1.0006299212598426	18	4	1152	1152	198	642857	0	6
sc	c/pthread/butterfly.yml	15.070072637870908	16.46363053494133	1.0924718765832906	26198016.0	26214400.0	1.0006253908692933	60	41	3840	3840	2810	872781	0	196280
sc	c/pthread-theta/unwind3-1.yml	0.06239445391111076	0.05763941979967058	0.9237907568160727	26075136.0	26095616.0	1.0007854225573358	18	0	1152	1152	200	617283	0	1
sc	c/pthread-ext/14_spin2003.yml	0.06095740501768887	0.058027409948408604	0.9519337303084009	25964544.0	25980928.0	1.0006310143555766	0	0	0	0	0	0	0	0
sc	c/pthread-theta/exponential-nondet.yml	0.06352448998950422	0.06564200716093183	1.0333338712640978	26087424.0	26112000.0	1.0009420631182289	0	0	0	0	0	0	0	0
sc	c/pthread-atomic/dekker-unfair.yml	0.05864085303619504	0.06544500892050564	1.1160309840668732	26050560.0	26075136.0	1.0009433962264151	31	11	1984	1984	688	740484	0	7
sc	c/goblint-regression/13-privatized_20-publish-regression_true.yml	0.06405641185119748	0.060548159992322326	0.9452318392883948	26021888.0	26030080.0	1.00031481189989	12	0	768	768	82	569444	0	3
sc	c/pthread/queue_ok_longest.yml	21.049373782938346	14.95955345313996	0.7106887647776717	970072064.0	613257216.0	0.6321769678340103	8029	0	64745856	64745856	20822988	323013	1	3
sc	c/pthread-atomic/time_var_mutex.yml	0.06558318482711911	0.06291332608088851	0.9592904987266401	26099712.0	26107904.0	1.000313873195229	28	0	1792	1792	542	691326	0	3
sc	c/goblint-regression/28-race_reach_46-escape_racefree.yml	0.06110152299515903	0.06026079482398927	0.9862404711051741	26025984.0	26054656.0	1.0011016682404785	17	0	1088	1088	150	519031	0	3
sc	c/pthread-C-DAC/pthread-demo-datarace-3.yml	0.09701208001933992	0.09421299793757498	0.9711470769289049	26083328.0	26091520.0	1.0003140703517588	262	0	83840	83840	33272	509567	0	40
sc	c/goblint-regression/13-privatized_25-struct_nr_true.yml	0.060261149890720844	0.06222082790918648	1.0325197581197731	26021888.0	26021888.0	1.0	16	0	1024	1024	122	476562	0	3
