task_yaml	expected_verdict	caat-tso	cat-tso	genmc-tso
c/goblint-regression/28-race_reach_01-simple_racing.yml	false	OUT OF MEMORY:5	OUT OF MEMORY:5	false(unreach-call):5
c/goblint-regression/28-race_reach_06-cond_racing1.yml	false	OUT OF MEMORY:5	OUT OF MEMORY:5	false(unreach-call):5
c/goblint-regression/28-race_reach_11-ptr_racing.yml	false	OUT OF MEMORY:5	OUT OF MEMORY:5	false(unreach-call):5
c/goblint-regression/28-race_reach_24-sound_lock_racing.yml	false	OUT OF MEMORY:5	OUT OF MEMORY:5	false(unreach-call):5
c/goblint-regression/28-race_reach_37-indirect_racing.yml	false	OUT OF MEMORY:5	OUT OF MEMORY:5	false(unreach-call):5
c/pthread-deagle/circular_buffer_ok.yml	true	true:5	TIMEOUT:5	true:5
c/pthread/fib_safe-5.yml	true	true:5	TIMEOUT:5	true:5
c/pthread/fib_safe-6.yml	true	true:5	TIMEOUT:5	true:5
c/pthread/fib_unsafe-5.yml	false	false(unreach-call):5	TIMEOUT (false(unreach-call)):5	false(unreach-call):5
c/pthread/fib_unsafe-6.yml	false	false(unreach-call):5	TIMEOUT:5	false(unreach-call):5
c/pthread/fib_unsafe-7.yml	false	TIMEOUT:5	TIMEOUT:5	false(unreach-call):5
c/pthread/queue_longer.yml	false	TIMEOUT:5	TIMEOUT:5	false(unreach-call):5
c/pthread/queue_ok_longest.yml	true	true:5	TIMEOUT:5	true:5
c/pthread/triangular-1.yml	true	true:5	TIMEOUT:5	true:5
