backend	task_yaml	runs	family	source_bytes	source_lines	adapter_source_lines	adapter_transitive_lines	all_repetitions_solved	statuses	median_wall_seconds	median_cpu_seconds	median_memory_bytes
caat-tso	c/goblint-regression/13-privatized_01-priv_nr_true.yml	5	goblint-regression	1061	42			true	true:5	0.0659433289	0.046865	26202112
caat-tso	c/goblint-regression/13-privatized_18-first-reads_true.yml	5	goblint-regression	1011	45			true	true:5	0.0638558271	0.046657	26206208
caat-tso	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	5	goblint-regression	977	44			true	false(unreach-call):5	0.0608802668	0.04541	26206208
caat-tso	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	5	goblint-regression	974	44			true	false(unreach-call):5	0.061860807	0.046639	26210304
caat-tso	c/goblint-regression/13-privatized_19-publish-precision_true.yml	5	goblint-regression	1081	43			true	true:5	0.0701941601	0.046254	26198016
caat-tso	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	5	goblint-regression	1051	42			true	false(unreach-call):5	0.0655558449	0.046914	26206208
caat-tso	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	5	goblint-regression	1048	42			true	false(unreach-call):5	0.0615411929	0.047094	26206208
caat-tso	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	5	goblint-regression	1051	42			true	false(unreach-call):5	0.062864675	0.046772	26198016
caat-tso	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	5	goblint-regression	1048	42			true	false(unreach-call):5	0.0596807681	0.046635	26198016
caat-tso	c/goblint-regression/13-privatized_20-publish-regression_true.yml	5	goblint-regression	1284	46			true	true:5	0.0611963561	0.045749	26198016
caat-tso	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	5	goblint-regression	1821	66			true	true:5	0.0647045809	0.049105	26255360
caat-tso	c/goblint-regression/13-privatized_25-struct_nr_true.yml	5	goblint-regression	1138	46			true	true:5	0.06216537	0.045794	26206208
caat-tso	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	5	goblint-regression	2193	72			true	true:5	0.067680927	0.054627	26304512
caat-tso	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	5	goblint-regression	1674	53			true	true:5	0.0583358901	0.047324	26222592
caat-tso	c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	5	goblint-regression	1337	51			true	true:5	0.0683887941	0.046708	26214400
caat-tso	c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	5	goblint-regression	1267	46			true	true:5	0.0651068231	0.047138	26226688
caat-tso	c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	5	goblint-regression	1377	53			true	true:5	0.062481439	0.047397	26238976
caat-tso	c/goblint-regression/13-privatized_33-traces-v-matters_true.yml	5	goblint-regression	1097	42			true	true:5	0.0611921239	0.046098	26181632
caat-tso	c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	5	goblint-regression	1379	54			true	true:5	0.061237576	0.046349	26214400
caat-tso	c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	5	goblint-regression	1041	41			true	true:5	0.0659200929	0.046145	26181632
caat-tso	c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	5	goblint-regression	987	39			true	true:5	0.0607695291	0.045639	26173440
caat-tso	c/goblint-regression/13-privatized_37-traces-ex-4_true.yml	5	goblint-regression	1041	41			true	true:5	0.06325942	0.046911	26189824
caat-tso	c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	5	goblint-regression	1041	41			true	true:5	0.0634050048	0.046997	26177536
caat-tso	c/goblint-regression/13-privatized_40-traces-ex-6_true.yml	5	goblint-regression	959	38			true	true:5	0.0612616679	0.045904	26169344
caat-tso	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	5	goblint-regression	945	37			true	false(unreach-call):5	0.0620787991	0.046653	26165248
caat-tso	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	5	goblint-regression	942	37			true	false(unreach-call):5	0.0611089601	0.045912	26169344
caat-tso	c/goblint-regression/13-privatized_42-traces-ex-mini_true.yml	5	goblint-regression	1092	42			true	true:5	0.063298279	0.045607	26177536
caat-tso	c/goblint-regression/13-privatized_44-traces-mine2_true.yml	5	goblint-regression	973	39			true	true:5	0.06263991	0.045952	26165248
caat-tso	c/goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	5	goblint-regression	1054	41			true	true:5	0.0653429299	0.046748	26181632
caat-tso	c/goblint-regression/13-privatized_46-refine-protected1_true.yml	5	goblint-regression	909	39			true	true:5	0.061790342	0.045306	26148864
caat-tso	c/goblint-regression/13-privatized_47-refine-protected2_true.yml	5	goblint-regression	866	37			true	true:5	0.0586815348	0.046331	26165248
caat-tso	c/goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	5	goblint-regression	816	36			true	true:5	0.059398012	0.045968	26148864
caat-tso	c/goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	5	goblint-regression	967	39			true	true:5	0.063431002	0.045878	26148864
caat-tso	c/goblint-regression/13-privatized_66-mine-W-init_true.yml	5	goblint-regression	621	27			true	true:5	0.0441719131	0.033253	26120192
