backend	repetition	runs	solved	timeouts	ooms	total_cpu_seconds_observed	total_wall_seconds_observed	maximum_peak_rss_bytes	median_peak_rss_bytes
caat-tso	r01	96	89	2	5	323.644946	325.04737	3.99999795e+09	26241024
caat-tso	r02	96	89	2	5	323.35751	324.844773	3.99999795e+09	26238976
caat-tso	r03	96	89	2	5	323.700192	325.221945	3.99999795e+09	26234880
caat-tso	r04	96	89	2	5	324.243313	325.787622	3.99999795e+09	26238976
caat-tso	r05	96	89	2	5	323.804043	325.277976	3.99999795e+09	26236928
cat-tso	r01	96	82	9	5	710.060373	711.552349	3.99999795e+09	26218496
cat-tso	r02	96	82	9	5	710.41968	711.861526	3.99999795e+09	26216448
cat-tso	r03	96	82	9	5	711.340127	712.951325	3.99999795e+09	26216448
cat-tso	r04	96	82	9	5	711.173247	712.655708	3.99999795e+09	26214400
cat-tso	r05	96	82	9	5	710.991855	712.601244	3.99999795e+09	26210304
genmc-tso	r01	96	96	0	0	36.811405	38.2536281	1.04226816e+09	25948160
genmc-tso	r02	96	96	0	0	36.804384	38.2911838	1.04225178e+09	25956352
genmc-tso	r03	96	96	0	0	36.65131	38.1661126	1.04233779e+09	25948160
genmc-tso	r04	96	96	0	0	36.93827	38.4644569	1.04229274e+09	25954304
genmc-tso	r05	96	96	0	0	36.869687	38.3823178	1.04227635e+09	25950208
