tool		GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)
run set		genmc-sc.r01.unreach-call	genmc-sc.r01.unreach-call	genmc-sc.r01.unreach-call	genmc-sc.r01.unreach-call	cat-sc.r01.unreach-call	cat-sc.r01.unreach-call	cat-sc.r01.unreach-call	cat-sc.r01.unreach-call	caat-sc.r01.unreach-call	caat-sc.r01.unreach-call	caat-sc.r01.unreach-call	caat-sc.r01.unreach-call
/Users/sujie/Documents/Codes/C++/GenMC/genmc/optimization-analysis/svcomp2026/remote-results/sc/sv-benchmarks/c/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
goblint-regression/28-race_reach_37-indirect_racing.yml	false	false(unreach-call)	1.804434	1.8233005329966545	76.742656	OUT OF MEMORY	12.539966	12.55657866410911	3999.997952	OUT OF MEMORY	11.510234	11.531408886890858	3999.997952
goblint-regression/28-race_reach_01-simple_racing.yml	false	false(unreach-call)	1.820334	1.8341934268828481	76.738560	OUT OF MEMORY	12.533879	12.552565450081602	3999.997952	OUT OF MEMORY	11.899082	11.923699516104534	3999.997952
goblint-regression/28-race_reach_11-ptr_racing.yml	false	false(unreach-call)	1.80978	1.8195697779301554	76.759040	OUT OF MEMORY	12.556285	12.564303779043257	3999.997952	OUT OF MEMORY	11.523277	11.533863611053675	3999.997952
pthread/fib_safe-5.yml	true	true	0.886953	0.9038409250788391	25.944064	TIMEOUT	60.990155	61.02173350704834	26.042368	true	4.266321	4.280947955092415	26.071040
pthread/fib_safe-6.yml	true	true	4.173878	4.188915048958734	25.952256	TIMEOUT	60.989912	61.023003780981526	26.042368	true	23.940802	23.954950663959607	26.050560
pthread/fib_unsafe-6.yml	false	false(unreach-call)	1.094269	1.103803477017209	25.944064	TIMEOUT	60.998707	61.01696737995371	26.042368	false(unreach-call)	6.652799	6.6685147997923195	26.062848
pthread/fib_unsafe-7.yml	false	false(unreach-call)	5.295843	5.311707628890872	25.948160	TIMEOUT	60.999223	61.013980702962726	26.054656	false(unreach-call)	35.905372	35.92490441794507	26.066944
goblint-regression/28-race_reach_24-sound_lock_racing.yml	false	false(unreach-call)	1.812017	1.8192522709723562	76.746752	OUT OF MEMORY	12.549651	12.5651522858534	3999.997952	OUT OF MEMORY	11.62292	11.638131940970197	3999.997952
pthread-deagle/circular_buffer_ok.yml	true	true	0.828938	0.843894399004057	26.030080	TIMEOUT	60.992748	61.01532543101348	26.148864	true	3.405072	3.4185742230620235	26.148864
goblint-regression/28-race_reach_06-cond_racing1.yml	false	false(unreach-call)	1.817382	1.8373556360602379	76.742656	OUT OF MEMORY	12.549782	12.56200754409656	3999.997952	OUT OF MEMORY	11.706591	11.723225927911699	3999.997952
pthread/queue_longer.yml	false	false(unreach-call)	4.229751	4.242395021952689	1041.096704	TIMEOUT	61.003901	61.01846685889177	204.333056	TIMEOUT	61.013076	61.0363521988038	457.207808
