tool		GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)
run set		genmc-sc.r01.unreach-call	genmc-sc.r01.unreach-call	genmc-sc.r01.unreach-call	genmc-sc.r01.unreach-call	cat-sc.r01.unreach-call	cat-sc.r01.unreach-call	cat-sc.r01.unreach-call	cat-sc.r01.unreach-call	caat-sc.r01.unreach-call	caat-sc.r01.unreach-call	caat-sc.r01.unreach-call	caat-sc.r01.unreach-call
/Users/sujie/Documents/Codes/C++/GenMC/genmc/optimization-analysis/svcomp2026/remote-results/sc/sv-benchmarks/c/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
goblint-regression/13-privatized_66-mine-W-init_true.yml	true	true	0.031008	0.031634981045499444	25.821184	true	0.034159	0.04552776296623051	25.935872	true	0.036812	0.055522572016343474	25.944064
goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	false	false(unreach-call)	0.045194	0.05794366798363626	25.833472	false(unreach-call)	0.045022	0.06319669401273131	25.919488	false(unreach-call)	0.046162	0.061401612823829055	25.952256
goblint-regression/36-apron_16-traces-unprot2_true.yml	true	true	0.046746	0.056165450951084495	25.829376	true	0.046318	0.06374759296886623	25.919488	true	0.044544	0.054734776029363275	25.944064
goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	true	true	0.046014	0.0614291368983686	25.866240	true	0.045917	0.06708461907692254	25.960448	true	0.046263	0.06171978497877717	25.980928
goblint-regression/13-privatized_47-refine-protected2_true.yml	true	true	0.042403	0.05769257713109255	25.894912	true	0.046563	0.06354369292967021	25.968640	true	0.045806	0.06701223691925406	25.972736
goblint-regression/13-privatized_46-refine-protected1_true.yml	true	true	0.045847	0.06135851494036615	25.849856	true	0.044654	0.06787249096669257	25.960448	true	0.045746	0.06629123189486563	25.985024
goblint-regression/36-apron_11-traces-max-simple_true.yml	true	true	0.045762	0.06026643002405763	25.874432	true	0.046555	0.06694457400590181	25.964544	true	0.046007	0.059587518917396665	25.997312
goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	false	false(unreach-call)	0.046095	0.06468037189915776	25.870336	false(unreach-call)	0.046412	0.07033341913484037	25.972736	false(unreach-call)	0.046438	0.05676539405249059	25.980928
goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	false	false(unreach-call)	0.046066	0.06211609882302582	25.874432	false(unreach-call)	0.046166	0.055197098990902305	25.968640	false(unreach-call)	0.046515	0.06931513897143304	25.989120
goblint-regression/13-privatized_40-traces-ex-6_true.yml	true	true	0.045712	0.05809223395772278	25.870336	true	0.046078	0.05388883501291275	25.989120	true	0.046265	0.060270116897299886	25.993216
goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	true	true	0.046285	0.059921607142314315	25.858048	true	0.045955	0.06114784209057689	25.964544	true	0.045944	0.061496208887547255	25.985024
goblint-regression/13-privatized_44-traces-mine2_true.yml	true	true	0.046457	0.06674211309291422	25.862144	true	0.046456	0.060027834959328175	25.976832	true	0.046041	0.05654772184789181	25.976832
goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	false	false(unreach-call)	0.046081	0.06518129887990654	25.919488	false(unreach-call)	0.045399	0.06146419793367386	26.009600	false(unreach-call)	0.046829	0.06943660718388855	26.030080
goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	false	false(unreach-call)	0.046688	0.056243260158225894	25.919488	false(unreach-call)	0.045191	0.06121396482922137	26.017792	false(unreach-call)	0.043827	0.06220620311796665	26.013696
goblint-regression/13-privatized_36-traces-ex-3_true.yml	true	true	0.045902	0.057117065880447626	25.878528	true	0.046666	0.06374880997464061	25.976832	true	0.046198	0.060615279013291	25.985024
goblint-regression/13-privatized_18-first-reads_true.yml	true	true	0.041872	0.05123786488547921	25.903104	true	0.047636	0.056400457164272666	26.009600	true	0.045433	0.06047452404163778	26.021888
goblint-regression/13-privatized_35-traces-ex-2_true.yml	true	true	0.04602	0.06175519712269306	25.903104	true	0.046608	0.06621261895634234	25.980928	true	0.044438	0.05845943605527282	26.001408
goblint-regression/13-privatized_37-traces-ex-4_true.yml	true	true	0.045953	0.06238768598996103	25.878528	true	0.04628	0.06005103699862957	25.993216	true	0.046157	0.06544148502871394	26.005504
goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	true	true	0.046035	0.06071265903301537	25.894912	true	0.046955	0.0642814259044826	25.985024	true	0.046321	0.061814127024263144	26.001408
goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	false	false(unreach-call)	0.045956	0.057653342140838504	25.903104	false(unreach-call)	0.046922	0.06808662507683039	26.013696	false(unreach-call)	0.045921	0.06921390909701586	26.021888
