tool		GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)
run set		genmc-tso.r01.unreach-call	genmc-tso.r01.unreach-call	genmc-tso.r01.unreach-call	genmc-tso.r01.unreach-call	cat-tso.r01.unreach-call	cat-tso.r01.unreach-call	cat-tso.r01.unreach-call	cat-tso.r01.unreach-call	caat-tso.r01.unreach-call	caat-tso.r01.unreach-call	caat-tso.r01.unreach-call	caat-tso.r01.unreach-call
/Users/sujie/Documents/Codes/C++/GenMC/genmc/optimization-analysis/svcomp2026/remote-results/tso/sv-benchmarks/c/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
pthread/triangular-1.yml	true	true	1.737601	1.7685513379983604	25.968640	TIMEOUT	60.996962	61.01627599517815	26.234880	true	6.265856	6.278281609993428	26.267648
goblint-regression/28-race_reach_37-indirect_racing.yml	false	false(unreach-call)	1.814211	1.830838724039495	77.537280	OUT OF MEMORY	12.523463	12.540079209022224	3999.997952	OUT OF MEMORY	12.552805	12.563796197064221	3999.997952
goblint-regression/28-race_reach_01-simple_racing.yml	false	false(unreach-call)	1.837337	1.8508229299914092	77.533184	OUT OF MEMORY	12.578986	12.598499856889248	3999.997952	OUT OF MEMORY	12.502253	12.522850263863802	3999.997952
goblint-regression/28-race_reach_11-ptr_racing.yml	false	false(unreach-call)	1.823921	1.839291914831847	77.377536	OUT OF MEMORY	12.532541	12.55043566506356	3999.997952	OUT OF MEMORY	12.4033	12.423875533044338	3999.997952
pthread/fib_safe-5.yml	true	true	0.895272	0.9146257159300148	25.948160	TIMEOUT	60.994701	61.015765277901664	26.218496	true	8.187292	8.204321329016238	26.230784
pthread/fib_safe-6.yml	true	true	4.239041	4.249153034994379	25.952256	TIMEOUT	60.996335	61.02469380199909	26.226688	true	46.224172	46.238662189105526	26.247168
pthread/fib_unsafe-5.yml	false	false(unreach-call)	0.251863	0.2618179889395833	25.948160	TIMEOUT (false(unreach-call))	60.168195	60.19071286008693	26.226688	false(unreach-call)	2.2221	2.2312976808752865	26.243072
pthread/fib_unsafe-6.yml	false	false(unreach-call)	1.11176	1.1309066030662507	25.948160	TIMEOUT	60.995567	61.011062724050134	26.230784	false(unreach-call)	12.907094	12.917369943112135	26.234880
pthread/fib_unsafe-7.yml	false	false(unreach-call)	5.404604	5.417903752997518	25.956352	TIMEOUT	60.996203	61.01447582896799	26.218496	TIMEOUT	60.997339	61.009170677978545	26.234880
goblint-regression/28-race_reach_24-sound_lock_racing.yml	false	false(unreach-call)	1.816776	1.8267385149374604	77.533184	OUT OF MEMORY	12.55693	12.561243280069903	3999.997952	OUT OF MEMORY	12.432038	12.446593936067075	3999.997952
pthread-deagle/circular_buffer_ok.yml	true	true	0.821767	0.8343368039932102	26.042368	TIMEOUT	60.983705	61.01785189216025	26.304512	true	6.083239	6.099782158853486	26.329088
goblint-regression/28-race_reach_06-cond_racing1.yml	false	false(unreach-call)	1.815834	1.8291054340079427	77.582336	OUT OF MEMORY	12.578036	12.593734491150826	3999.997952	OUT OF MEMORY	12.485482	12.499099181964993	3999.997952
pthread/queue_ok_longest.yml	true	true	0.105266	0.12616223003715277	26.124288	TIMEOUT	61.026638	61.05075788684189	904.392704	true	19.753706	19.76575953210704	1205.526528
pthread/queue_longer.yml	false	false(unreach-call)	4.250997	4.26730276318267	1042.268160	TIMEOUT	60.99855	61.01226508896798	74.629120	TIMEOUT	61.012412	61.02438263501972	464.723968
