tool			Deagle 4.1.0	Deagle 4.1.0	Deagle 4.1.0	Deagle 4.1.0	CBMC 5.70.0 (cbmc-5.70.0-121-g4f69955d00)	CBMC 5.70.0 (cbmc-5.70.0-121-g4f69955d00)	CBMC 5.70.0 (cbmc-5.70.0-121-g4f69955d00)	CBMC 5.70.0 (cbmc-5.70.0-121-g4f69955d00)
run set			deagle-ilp32-census.deagle.r01.unreach-call	deagle-ilp32-census.deagle.r01.unreach-call	deagle-ilp32-census.deagle.r01.unreach-call	deagle-ilp32-census.deagle.r01.unreach-call	cbmc-ilp32-census-all.cbmc.r01.unreach-call	cbmc-ilp32-census-all.cbmc.r01.unreach-call	cbmc-ilp32-census-all.cbmc.r01.unreach-call	cbmc-ilp32-census-all.cbmc.r01.unreach-call
/Users/sujie/Documents/Codes/C++/GenMC/genmc/optimization-analysis/svcomp2026/remote-results/new-server/			status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
cbmc/sv-benchmarks/c/goblint-regression/13-privatized_66-mine-W-init_true.yml	unreach-call	true					true	0.186248331	0.19418568501714617	7.770112
cbmc/sv-benchmarks/c/goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	unreach-call	false					false(unreach-call)	0.137400783	0.14271041902247816	7.647232
cbmc/sv-benchmarks/c/goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_neg.yml	unreach-call	false					false(unreach-call)	0.1791591	0.18285760300932452	7.634944
cbmc/sv-benchmarks/c/goblint-regression/36-apron_16-traces-unprot2_true.yml	unreach-call	true					true	0.219018567	0.22292389499489218	7.643136
cbmc/sv-benchmarks/c/goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	unreach-call	true					true	0.180946339	0.18799380300333723	7.921664
cbmc/sv-benchmarks/c/goblint-regression/13-privatized_47-refine-protected2_true.yml	unreach-call	true					true	2.419251492	2.4243538270238787	31.715328
cbmc/sv-benchmarks/c/goblint-regression/13-privatized_46-refine-protected1_true.yml	unreach-call	true					true	0.352324275	0.36028679803712294	13.418496
cbmc/sv-benchmarks/c/goblint-regression/36-apron_11-traces-max-simple_true.yml	unreach-call	true					true	1.336601769	1.3406605269992724	29.495296
