tool		TruSt-family LP64 adapter awamoche:GenMC (https://plv.mpi-sws.org/genmc):	TruSt-family LP64 adapter awamoche:GenMC (https://plv.mpi-sws.org/genmc):	TruSt-family LP64 adapter awamoche:GenMC (https://plv.mpi-sws.org/genmc):	TruSt-family LP64 adapter awamoche:GenMC (https://plv.mpi-sws.org/genmc):	TruSt-family LP64 adapter mixer:GenMC (https://plv.mpi-sws.org/genmc):	TruSt-family LP64 adapter mixer:GenMC (https://plv.mpi-sws.org/genmc):	TruSt-family LP64 adapter mixer:GenMC (https://plv.mpi-sws.org/genmc):	TruSt-family LP64 adapter mixer:GenMC (https://plv.mpi-sws.org/genmc):	TruSt-family LP64 adapter spore:GenMC (https://plv.mpi-sws.org/genmc):	TruSt-family LP64 adapter spore:GenMC (https://plv.mpi-sws.org/genmc):	TruSt-family LP64 adapter spore:GenMC (https://plv.mpi-sws.org/genmc):	TruSt-family LP64 adapter spore:GenMC (https://plv.mpi-sws.org/genmc):	TruSt-family LP64 adapter trust:GenMC (https://plv.mpi-sws.org/genmc):	TruSt-family LP64 adapter trust:GenMC (https://plv.mpi-sws.org/genmc):	TruSt-family LP64 adapter trust:GenMC (https://plv.mpi-sws.org/genmc):	TruSt-family LP64 adapter trust:GenMC (https://plv.mpi-sws.org/genmc):
run set		awamoche-rc11-census-all.awamoche-rc11-lp64.r01.unreach-call	awamoche-rc11-census-all.awamoche-rc11-lp64.r01.unreach-call	awamoche-rc11-census-all.awamoche-rc11-lp64.r01.unreach-call	awamoche-rc11-census-all.awamoche-rc11-lp64.r01.unreach-call	mixer-rc11-census-all.mixer-rc11-lp64.r01.unreach-call	mixer-rc11-census-all.mixer-rc11-lp64.r01.unreach-call	mixer-rc11-census-all.mixer-rc11-lp64.r01.unreach-call	mixer-rc11-census-all.mixer-rc11-lp64.r01.unreach-call	spore-rc11-census-all.spore-rc11-lp64.r01.unreach-call	spore-rc11-census-all.spore-rc11-lp64.r01.unreach-call	spore-rc11-census-all.spore-rc11-lp64.r01.unreach-call	spore-rc11-census-all.spore-rc11-lp64.r01.unreach-call	trust-rc11-census-all.trust-rc11-lp64.r01.unreach-call	trust-rc11-census-all.trust-rc11-lp64.r01.unreach-call	trust-rc11-census-all.trust-rc11-lp64.r01.unreach-call	trust-rc11-census-all.trust-rc11-lp64.r01.unreach-call
/Users/sujie/Documents/Codes/C++/GenMC/genmc/optimization-analysis/svcomp2026/remote-results/new-server/trust-family/sv-benchmarks/c/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml	true	true	0.026292991	0.1083456400083378	10.137600	true	0.048764056	0.10562933195615187	24.195072	true	0.05374984	0.13170077500399202	24.195072	TIMEOUT	10.200618733	23.314510885975324	82.124800
goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	true	true	0.028113677	0.1384120160364546	10.145792	true	0.0540089	0.05898977804463357	24.203264	true	0.050460513	0.05778719700174406	24.223744	TIMEOUT	10.141159982	32.00811833998887	82.014208
pthread-ext/28_buggy_simple_loop1_vf.yml	false	ERROR (unsupported external)	0.028055023	0.2578916230122559	10.174464	ERROR (unsupported external)	0.056435653	0.2550496159819886	24.121344	ERROR (unsupported external)	0.050845654	0.11672466795425862	24.084480	TIMEOUT	9.906413997	41.2881605370203	1369.223168
pthread-ext/14_spin2003.yml	true	true	0.02773585	0.14008294499944896	10.117120	true	0.051276656	0.14254829700803384	24.145920	true	0.053701409	0.1775270689977333	24.100864	TIMEOUT	9.246007702	41.33167843800038	1397.362688
pthread-ext/29_conditionals_vs.yml	true	true	0.026792953	0.06729428697144613	10.137600	true	0.054955686	0.19327657902613282	24.092672	true	0.054032358	0.1961481159669347	24.043520	TIMEOUT	10.354664571	35.60311588697368	1606.459392
pthread-ext/48_ticket_lock_low_contention_vs-pthread.yml	true	true	0.026909673	0.08828028402058408	10.080256	true	0.052992928	0.1239498850191012	24.137728	true	0.051228888	0.13964647700777277	24.141824	TIMEOUT	7.066266872	41.21576676797122	733.036544
pthread-ext/46_monabsex2_vs.yml	true	true	0.027239678	0.031671117001678795	10.137600	true	0.052814214	0.1810532989911735	24.104960	true	0.050985604	0.14635492803063244	24.084480	TIMEOUT	10.149308881	39.50466942496132	1485.250560
pthread-ext/45_monabsex1_vs.yml	true	true	0.025861888	0.06061519798822701	10.153984	true	0.057246693	0.30073256499599665	24.158208	true	0.05205735	0.19911358098033816	24.133632	TIMEOUT	10.360014647	35.850654762994964	1515.470848
