   BENCHMARK INFORMATION
benchmark definition:    /workspace/experiments/fair-coverage/comparison-60s/definitions/deagle.xml
name:                    deagle
run sets:                deagle.unreach-call
date:                    Wed, 2026-07-15 17:40:16 UTC
tool:                    Deagle 4.1.0
tool executable:         /opt/deagle/deagle
options:
parallel runs:           16
resource limits:
- memory:                4000.0 MB
- time:                  60 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    44f8cc3e3db3
os:                      Linux-5.15.0-185-generic-x86_64-with-glibc2.35
cpu:                     Intel Xeon Platinum 8280M CPU @ 2.60GHz
- cores:                 56
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     810198.7450880001 MB
------------------------------------------------------------



deagle.unreach-call
Run set 1 of 1 with options '' and propertyfile 'None'

inputfile                                                                                                                                                                          status                       cpu time   wall time        host
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
goblint-regression/13-privatized_66-mine-W-init_true.yml                                                                                                                           true                             0.19        0.30        None
goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml                                                                                                             false(unreach-call)              0.19        0.33        None
goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_neg.yml                                                                                                             false(unreach-call)              0.19        0.28        None
goblint-regression/36-apron_16-traces-unprot2_true.yml                                                                                                                             true                             0.21        0.36        None
goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml                                                                                                                 true                             0.20        0.29        None
goblint-regression/13-privatized_47-refine-protected2_true.yml                                                                                                                     true                             0.21        0.31        None
goblint-regression/13-privatized_46-refine-protected1_true.yml                                                                                                                     true                             0.21        0.31        None
goblint-regression/36-apron_11-traces-max-simple_true.yml                                                                                                                          true                             0.20        0.31        None
goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml                                                                                                                  false(unreach-call)              0.21        0.37        None
goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml                                                                                                                  false(unreach-call)              0.21        0.35        None
goblint-regression/13-privatized_40-traces-ex-6_true.yml                                                                                                                           true                             0.21        0.32        None
