backend	repetition	task_yaml	property	expected_verdict	status	category	cputime_seconds	walltime_seconds	memory_bytes	returnvalue	exitsignal	starttime	executions	blocked	max_active_events	max_stable_events	max_inactive_events	max_current_base_bytes	max_history_base_bytes	max_base_relation_pairs	max_base_relation_density_ppm	rebuilds	profiled_queries
Deagle	r01	c/goblint-regression/13-privatized_01-priv_nr_true.yml	unreach-call	true	true	correct	0.221812115	0.2530712329898961	11104256	0		2026-07-15T17:40:18.379447+00:00											
Deagle	r01	c/goblint-regression/13-privatized_04-priv_multi_true.yml	unreach-call	true	TIMEOUT	error	61.063422689	61.0116060480359	2500751360		9	2026-07-15T17:42:54.754085+00:00											
Deagle	r01	c/goblint-regression/13-privatized_18-first-reads_true.yml	unreach-call	true	true	correct	0.209078018	0.2610313789919019	11022336	0		2026-07-15T17:40:18.140218+00:00											
Deagle	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.214390409	0.32532732002437115	11100160	0		2026-07-15T17:40:17.806879+00:00											
Deagle	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_1_pos.yml	unreach-call	false	false(unreach-call)	correct	0.210240093	0.3160127729643136	11075584	0		2026-07-15T17:40:17.782187+00:00											
Deagle	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_2_neg.yml	unreach-call	false	false(unreach-call)	correct	0.195335163	0.21375797502696514	11124736	0		2026-07-15T17:40:18.073650+00:00											
Deagle	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	unreach-call	false	false(unreach-call)	correct	0.208533549	0.304837525007315	11063296	0		2026-07-15T17:40:17.816046+00:00											
Deagle	r01	c/goblint-regression/13-privatized_19-publish-precision_true.yml	unreach-call	true	true	correct	0.213478684	0.25213798496406525	11026432	0		2026-07-15T17:40:18.470191+00:00											
Deagle	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.213506314	0.2444296949543059	11055104	0		2026-07-15T17:40:18.359555+00:00											
Deagle	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	unreach-call	false	false(unreach-call)	correct	0.225050577	0.2905696599627845	11108352	0		2026-07-15T17:40:18.288642+00:00											
Deagle	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	unreach-call	false	false(unreach-call)	correct	0.227329717	0.28566357697127387	11128832	0		2026-07-15T17:40:18.367230+00:00											
Deagle	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	unreach-call	false	false(unreach-call)	correct	0.213860268	0.2596381450421177	11137024	0		2026-07-15T17:40:18.350583+00:00											
Deagle	r01	c/goblint-regression/13-privatized_20-publish-regression_true.yml	unreach-call	true	true	correct	0.215901724	0.24862880702130497	11116544	0		2026-07-15T17:40:18.753902+00:00											
Deagle	r01	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	unreach-call	true	true	correct	0.318497376	0.350634781003464	28721152	0		2026-07-15T17:40:18.850497+00:00											
Deagle	r01	c/goblint-regression/13-privatized_25-struct_nr_true.yml	unreach-call	true	true	correct	0.205349211	0.233483541989699	11083776	0		2026-07-15T17:40:18.496481+00:00											
Deagle	r01	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	unreach-call	true	true	correct	0.359038597	0.3898770550149493	29851648	0		2026-07-15T17:40:20.195960+00:00											
Deagle	r01	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	unreach-call	true	true	correct	0.256537297	0.29805836197920144	13676544	0		2026-07-15T17:40:18.821097+00:00											
Deagle	r01	c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	unreach-call	true	true	correct	0.220065919	0.2530507420306094	11075584	0		2026-07-15T17:40:18.759951+00:00											
Deagle	r01	c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	unreach-call	true	true	correct	0.225575849	0.24006657296558842	13045760	0		2026-07-15T17:40:18.731984+00:00											
Deagle	r01	c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	unreach-call	true	true	correct	0.245686496	0.2763754799962044	14798848	0		2026-07-15T17:40:18.771343+00:00											
Deagle	r01	c/goblint-regression/13-privatized_33-traces-v-matters_true.yml	unreach-call	true	true	correct	0.218116283	0.23458576202392578	11067392	0		2026-07-15T17:40:18.488171+00:00											
Deagle	r01	c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	unreach-call	true	true	correct	0.229375776	0.24192071496509016	12140544	0		2026-07-15T17:40:18.781989+00:00											
Deagle	r01	c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	unreach-call	true	true	correct	0.219385383	0.31784885202068835	10977280	0		2026-07-15T17:40:18.195158+00:00											
Deagle	r01	c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	unreach-call	true	true	correct	0.193341922	0.22565815597772598	11177984	0		2026-07-15T17:40:18.089672+00:00											
Deagle	r01	c/goblint-regression/13-privatized_37-traces-ex-4_true.yml	unreach-call	true	true	correct	0.229443681	0.3061735189985484	11018240	0		2026-07-15T17:40:18.296458+00:00											
Deagle	r01	c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	unreach-call	true	true	correct	0.229853513	0.29034601600142196	11010048	0		2026-07-15T17:40:18.327576+00:00											
Deagle	r01	c/goblint-regression/13-privatized_40-traces-ex-6_true.yml	unreach-call	true	true	correct	0.213613788	0.31867386400699615	11137024	0		2026-07-15T17:40:17.749401+00:00											
Deagle	r01	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.213494221	0.3487513510044664	11063296	0		2026-07-15T17:40:17.720383+00:00											
Deagle	r01	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	unreach-call	false	false(unreach-call)	correct	0.208469041	0.36832037998829037	11051008	0		2026-07-15T17:40:17.696527+00:00											
