task_yaml	expected_verdict	Deagle	GenMC	GenMC+CAAT	GenMC+CAT
c/goblint-regression/13-privatized_04-priv_multi_true.yml		TIMEOUT:1	OUT OF MEMORY:1	TIMEOUT:1	TIMEOUT:1
c/goblint-regression/13-privatized_52-refine-protected-loop2-small_true.yml		true:1	TIMEOUT:1	TIMEOUT:1	OUT OF MEMORY:1
c/goblint-regression/13-privatized_67-pthread_cond_wait_true.yml		false(unreach-call):1	ERROR (compilation):1	ERROR (compilation):1	ERROR (compilation):1
c/goblint-regression/13-privatized_67-pthread_cond_wait_unknown_1_neg.yml		false(unreach-call):1	ERROR (compilation):1	ERROR (compilation):1	ERROR (compilation):1
c/goblint-regression/13-privatized_67-pthread_cond_wait_unknown_1_pos.yml		false(unreach-call):1	ERROR (compilation):1	ERROR (compilation):1	ERROR (compilation):1
c/goblint-regression/28-race_reach_01-simple_racing.yml		ERROR:1	false(unreach-call):1	OUT OF MEMORY:1	OUT OF MEMORY:1
c/goblint-regression/28-race_reach_02-simple_racefree.yml		ERROR:1	OUT OF MEMORY:1	OUT OF MEMORY:1	OUT OF MEMORY:1
c/goblint-regression/28-race_reach_03-munge_racing.yml		ERROR:1	OUT OF MEMORY:1	OUT OF MEMORY:1	OUT OF MEMORY:1
c/goblint-regression/28-race_reach_04-munge_racefree.yml		ERROR:1	OUT OF MEMORY:1	OUT OF MEMORY:1	OUT OF MEMORY:1
c/goblint-regression/28-race_reach_05-lockfuns_racefree.yml		ERROR:1	OUT OF MEMORY:1	OUT OF MEMORY:1	OUT OF MEMORY:1
c/goblint-regression/28-race_reach_06-cond_racing1.yml		ERROR:1	false(unreach-call):1	OUT OF MEMORY:1	OUT OF MEMORY:1
c/goblint-regression/28-race_reach_07-cond_racing2.yml		ERROR:1	OUT OF MEMORY:1	OUT OF MEMORY:1	OUT OF MEMORY:1
c/goblint-regression/28-race_reach_08-cond_racefree.yml		ERROR:1	OUT OF MEMORY:1	OUT OF MEMORY:1	OUT OF MEMORY:1
c/goblint-regression/28-race_reach_09-ptrmunge_racing.yml		ERROR:1	OUT OF MEMORY:1	OUT OF MEMORY:1	OUT OF MEMORY:1
c/goblint-regression/28-race_reach_10-ptrmunge_racefree.yml		ERROR:1	OUT OF MEMORY:1	OUT OF MEMORY:1	OUT OF MEMORY:1
c/goblint-regression/28-race_reach_11-ptr_racing.yml		ERROR:1	false(unreach-call):1	OUT OF MEMORY:1	OUT OF MEMORY:1
c/goblint-regression/28-race_reach_12-ptr_racefree.yml		ERROR:1	OUT OF MEMORY:1	OUT OF MEMORY:1	OUT OF MEMORY:1
c/goblint-regression/28-race_reach_19-callback_racing.yml		ERROR:1	OUT OF MEMORY:1	OUT OF MEMORY:1	OUT OF MEMORY:1
c/goblint-regression/28-race_reach_20-callback_racefree.yml		ERROR:1	OUT OF MEMORY:1	OUT OF MEMORY:1	OUT OF MEMORY:1
c/goblint-regression/28-race_reach_21-deref_read_racing.yml		ERROR:1	ERROR (unsupported property: invalid memory access):1	ERROR (unsupported property: invalid memory access):1	ERROR (unsupported property: invalid memory access):1
c/goblint-regression/28-race_reach_22-deref_read_racefree.yml		ERROR:1	ERROR (unsupported property: invalid memory access):1	ERROR (unsupported property: invalid memory access):1	ERROR (unsupported property: invalid memory access):1
c/goblint-regression/28-race_reach_23-sound_unlock_racing.yml		ERROR:1	ERROR (unsupported external):1	ERROR (unsupported external):1	ERROR (unsupported external):1
c/goblint-regression/28-race_reach_24-sound_lock_racing.yml		ERROR:1	false(unreach-call):1	OUT OF MEMORY:1	OUT OF MEMORY:1
c/goblint-regression/28-race_reach_27-funptr_racing.yml		ERROR:1	OUT OF MEMORY:1	OUT OF MEMORY:1	OUT OF MEMORY:1
c/goblint-regression/28-race_reach_28-funptr_racefree.yml		ERROR:1	OUT OF MEMORY:1	OUT OF MEMORY:1	OUT OF MEMORY:1
c/goblint-regression/28-race_reach_36-indirect_racefree.yml		ERROR:1	OUT OF MEMORY:1	OUT OF MEMORY:1	OUT OF MEMORY:1
c/goblint-regression/28-race_reach_37-indirect_racing.yml		ERROR:1	false(unreach-call):1	OUT OF MEMORY:1	OUT OF MEMORY:1
