backend	task_yaml	runs	family	source_bytes	source_lines	adapter_source_lines	adapter_transitive_lines	all_repetitions_solved	statuses	median_wall_seconds	median_cpu_seconds	median_memory_bytes
Deagle	c/goblint-regression/13-privatized_01-priv_nr_true.yml	1						true	true:1	0.253071233	0.221812115	11104256
Deagle	c/goblint-regression/13-privatized_04-priv_multi_true.yml	1						false	TIMEOUT:1			
Deagle	c/goblint-regression/13-privatized_18-first-reads_true.yml	1						true	true:1	0.261031379	0.209078018	11022336
Deagle	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	1						true	false(unreach-call):1	0.32532732	0.214390409	11100160
Deagle	c/goblint-regression/13-privatized_18-first-reads_unknown_1_pos.yml	1						true	false(unreach-call):1	0.316012773	0.210240093	11075584
Deagle	c/goblint-regression/13-privatized_18-first-reads_unknown_2_neg.yml	1						true	false(unreach-call):1	0.213757975	0.195335163	11124736
Deagle	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	1						true	false(unreach-call):1	0.304837525	0.208533549	11063296
Deagle	c/goblint-regression/13-privatized_19-publish-precision_true.yml	1						true	true:1	0.252137985	0.213478684	11026432
Deagle	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	1						true	false(unreach-call):1	0.244429695	0.213506314	11055104
Deagle	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	1						true	false(unreach-call):1	0.29056966	0.225050577	11108352
Deagle	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	1						true	false(unreach-call):1	0.285663577	0.227329717	11128832
Deagle	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	1						true	false(unreach-call):1	0.259638145	0.213860268	11137024
Deagle	c/goblint-regression/13-privatized_20-publish-regression_true.yml	1						true	true:1	0.248628807	0.215901724	11116544
Deagle	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	1						true	true:1	0.350634781	0.318497376	28721152
Deagle	c/goblint-regression/13-privatized_25-struct_nr_true.yml	1						true	true:1	0.233483542	0.205349211	11083776
Deagle	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	1						true	true:1	0.389877055	0.359038597	29851648
Deagle	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	1						true	true:1	0.298058362	0.256537297	13676544
Deagle	c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	1						true	true:1	0.253050742	0.220065919	11075584
Deagle	c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	1						true	true:1	0.240066573	0.225575849	13045760
Deagle	c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	1						true	true:1	0.27637548	0.245686496	14798848
Deagle	c/goblint-regression/13-privatized_33-traces-v-matters_true.yml	1						true	true:1	0.234585762	0.218116283	11067392
Deagle	c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	1						true	true:1	0.241920715	0.229375776	12140544
Deagle	c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	1						true	true:1	0.317848852	0.219385383	10977280
Deagle	c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	1						true	true:1	0.225658156	0.193341922	11177984
Deagle	c/goblint-regression/13-privatized_37-traces-ex-4_true.yml	1						true	true:1	0.306173519	0.229443681	11018240
Deagle	c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	1						true	true:1	0.290346016	0.229853513	11010048
Deagle	c/goblint-regression/13-privatized_40-traces-ex-6_true.yml	1						true	true:1	0.318673864	0.213613788	11137024
Deagle	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	1						true	false(unreach-call):1	0.348751351	0.213494221	11063296
Deagle	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	1						true	false(unreach-call):1	0.36832038	0.208469041	11051008
Deagle	c/goblint-regression/13-privatized_42-traces-ex-mini_true.yml	1						true	true:1	0.260780983	0.216075089	11022336
Deagle	c/goblint-regression/13-privatized_44-traces-mine2_true.yml	1						true	true:1	0.298051897	0.217938203	11091968
Deagle	c/goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	1						true	true:1	0.268390872	0.216761914	11001856
Deagle	c/goblint-regression/13-privatized_46-refine-protected1_true.yml	1						true	true:1	0.309497874	0.206136435	11001856
Deagle	c/goblint-regression/13-privatized_47-refine-protected2_true.yml	1						true	true:1	0.30834981	0.211281306	10981376
Deagle	c/goblint-regression/13-privatized_52-refine-protected-loop2-small_true.yml	1						true	true:1	5.27291629	5.23361083	28327936
Deagle	c/goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	1						true	true:1	0.292281777	0.195609141	11005952
Deagle	c/goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	1						true	true:1	0.311871134	0.212802985	11046912
Deagle	c/goblint-regression/13-privatized_66-mine-W-init_true.yml	1						true	true:1	0.303374447	0.194618592	11059200
Deagle	c/goblint-regression/13-privatized_67-pthread_cond_wait_true.yml	1						true	false(unreach-call):1	0.310763522	0.30062659	13332480
Deagle	c/goblint-regression/13-privatized_67-pthread_cond_wait_unknown_1_neg.yml	1						true	false(unreach-call):1	0.310063486	0.298241065	13225984
Deagle	c/goblint-regression/13-privatized_67-pthread_cond_wait_unknown_1_pos.yml	1						true	false(unreach-call):1	0.312850266	0.302595049	13221888
Deagle	c/goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	1						true	true:1	5.47454404	5.44127676	32456704
Deagle	c/goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml	1						true	true:1	5.50022934	5.45939406	35041280
Deagle	c/goblint-regression/28-race_reach_01-simple_racing.yml	1						false	ERROR:1			
