before	after	tasks
ABORTED	ABORTED	2
ERROR (compilation)	ERROR (compilation)	13
ERROR (unsupported external)	ERROR (unsupported external)	2
ERROR (unsupported property: invalid memory access)	ERROR (unsupported property: invalid memory access)	7
ERROR (unsupported property: uninitialized memory)	ERROR (unsupported property: uninitialized memory)	1
OOM	OOM	31
OOM	TIMEOUT	21
OOM	false(unreach-call)	5
SEGMENTATION FAULT	SEGMENTATION FAULT	1
TIMEOUT	TIMEOUT	219
TIMEOUT	false(unreach-call)	4
TIMEOUT	true	1
false(unreach-call)	false(unreach-call)	121
true	true	297
