backend	repetition	task_yaml	property	expected_verdict	status	category	cputime_seconds	walltime_seconds	memory_bytes	returnvalue	exitsignal	starttime	executions	blocked	max_active_events	max_stable_events	max_inactive_events	max_current_base_bytes	max_history_base_bytes	max_base_relation_pairs	max_base_relation_density_ppm	rebuilds	profiled_queries
Deagle	r01	c/goblint-regression/13-privatized_01-priv_nr_true.yml	unreach-call	true	true	correct	0.220143804	0.26579370500985533	11157504	0		2026-07-16T12:35:30.198398+00:00											
Deagle	r01	c/goblint-regression/13-privatized_04-priv_multi_true.yml	unreach-call	true	TIMEOUT	error	61.200725499	64.30051090603229	2494545920		9	2026-07-16T12:40:02.900705+00:00											
Deagle	r01	c/goblint-regression/13-privatized_18-first-reads_true.yml	unreach-call	true	true	correct	0.217353939	0.2839218870503828	11100160	0		2026-07-16T12:35:29.692934+00:00											
Deagle	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.266266218	0.33739867503754795	10969088	0		2026-07-16T12:35:29.507857+00:00											
Deagle	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_1_pos.yml	unreach-call	false	false(unreach-call)	correct	0.239477527	0.3125842319568619	11042816	0		2026-07-16T12:35:29.493295+00:00											
Deagle	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_2_neg.yml	unreach-call	false	false(unreach-call)	correct	0.236205402	0.28548132395371795	11108352	0		2026-07-16T12:35:29.604283+00:00											
Deagle	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	unreach-call	false	false(unreach-call)	correct	0.262806674	0.3380619370145723	11022336	0		2026-07-16T12:35:29.500339+00:00											
Deagle	r01	c/goblint-regression/13-privatized_19-publish-precision_true.yml	unreach-call	true	true	correct	0.226319556	0.2576271470170468	11112448	0		2026-07-16T12:35:30.336428+00:00											
Deagle	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.279867169	0.3315995680168271	11046912	0		2026-07-16T12:35:30.107845+00:00											
Deagle	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	unreach-call	false	false(unreach-call)	correct	0.239378252	0.3332483989652246	11051008	0		2026-07-16T12:35:30.020203+00:00											
Deagle	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	unreach-call	false	false(unreach-call)	correct	0.236857497	0.28723690810147673	11067392	0		2026-07-16T12:35:30.112265+00:00											
Deagle	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	unreach-call	false	false(unreach-call)	correct	0.281601823	0.34758881898596883	11083776	0		2026-07-16T12:35:30.093330+00:00											
Deagle	r01	c/goblint-regression/13-privatized_20-publish-regression_true.yml	unreach-call	true	true	correct	0.226464184	0.2854562719585374	11083776	0		2026-07-16T12:35:30.689497+00:00											
Deagle	r01	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	unreach-call	true	true	correct	0.340213937	0.4248865599511191	28749824	0		2026-07-16T12:35:31.122629+00:00											
Deagle	r01	c/goblint-regression/13-privatized_25-struct_nr_true.yml	unreach-call	true	true	correct	0.244820453	0.311831644969061	11063296	0		2026-07-16T12:35:30.501899+00:00											
Deagle	r01	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	unreach-call	true	true	correct	0.362999991	0.3843769249506295	29880320	0		2026-07-16T12:35:37.073252+00:00											
Deagle	r01	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	unreach-call	true	true	correct	0.267485449	0.37392871896736324	13758464	0		2026-07-16T12:35:31.067582+00:00											
Deagle	r01	c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	unreach-call	true	true	correct	0.234475257	0.2701987100299448	11091968	0		2026-07-16T12:35:30.745817+00:00											
Deagle	r01	c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	unreach-call	true	true	correct	0.241720732	0.30083883204497397	12890112	0		2026-07-16T12:35:30.648515+00:00											
Deagle	r01	c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	unreach-call	true	true	correct	0.256000498	0.28473388496786356	14712832	0		2026-07-16T12:35:30.754086+00:00											
Deagle	r01	c/goblint-regression/13-privatized_33-traces-v-matters_true.yml	unreach-call	true	true	correct	0.23940307	0.28587644593790174	11005952	0		2026-07-16T12:35:30.465196+00:00											
Deagle	r01	c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	unreach-call	true	true	correct	0.241156477	0.27973503700923175	12161024	0		2026-07-16T12:35:30.913481+00:00											
Deagle	r01	c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	unreach-call	true	true	correct	0.223806787	0.3182048819726333	10956800	0		2026-07-16T12:35:29.863247+00:00											
Deagle	r01	c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	unreach-call	true	true	correct	0.260713428	0.3009325859602541	10993664	0		2026-07-16T12:35:29.675751+00:00											
