baseline_runtime_bin	backend	tasks	all_repetitions_solved	wall_ratio_geomean	memory_ratio_geomean
0.1-1s	Deagle	394	394	1	1
0.1-1s	GenMC	394	217	0.923291	2.12676
0.1-1s	GenMC+CAAT-PSO	394	178	0.717569	2.13916
0.1-1s	GenMC+CAAT-SC	394	210	0.867734	2.1353
0.1-1s	GenMC+CAAT-TSO	394	202	0.7525	2.14352
1-10s	Deagle	170	170	1	1
1-10s	GenMC	170	139	0.0275093	0.390309
1-10s	GenMC+CAAT-PSO	170	134	0.023903	0.385631
1-10s	GenMC+CAAT-SC	170	138	0.026052	0.390956
1-10s	GenMC+CAAT-TSO	170	138	0.0270049	0.393247
ge-10s	Deagle	30	30	1	1
ge-10s	GenMC	30	19	0.00691897	0.138628
ge-10s	GenMC+CAAT-PSO	30	18	0.00876539	0.137224
ge-10s	GenMC+CAAT-SC	30	19	0.00667574	0.139233
ge-10s	GenMC+CAAT-TSO	30	19	0.00691407	0.139984
