source_line_bin	backend	tasks	all_repetitions_solved	paired_with_baseline	wall_ratio_geomean
0001-0050	Deagle	37	33	33	1
0001-0050	GenMC	37	32	32	0.250978
0001-0050	GenMC+CAAT-PSO	37	32	32	0.22374
0001-0050	GenMC+CAAT-SC	37	32	32	0.225536
0001-0050	GenMC+CAAT-TSO	37	32	32	0.217151
0051-0100	Deagle	63	62	62	1
0051-0100	GenMC	63	55	54	0.110888
0051-0100	GenMC+CAAT-PSO	63	55	54	0.120035
0051-0100	GenMC+CAAT-SC	63	55	54	0.0975684
0051-0100	GenMC+CAAT-TSO	63	55	54	0.113838
0101-0250	Deagle	118	107	107	1
0101-0250	GenMC	118	96	91	0.0212885
0101-0250	GenMC+CAAT-PSO	118	96	91	0.0219673
0101-0250	GenMC+CAAT-SC	118	96	91	0.0217971
0101-0250	GenMC+CAAT-TSO	118	96	91	0.0216784
0251-0500	Deagle	3	3	3	1
0251-0500	GenMC	3	3	3	0.0261913
0251-0500	GenMC+CAAT-PSO	3	3	3	0.0328516
0251-0500	GenMC+CAAT-SC	3	3	3	0.0326963
0251-0500	GenMC+CAAT-TSO	3	3	3	0.0286578
0501-plus	Deagle	504	389	389	1
0501-plus	GenMC	504	229	195	0.639956
0501-plus	GenMC+CAAT-PSO	504	174	150	0.435848
0501-plus	GenMC+CAAT-SC	504	218	187	0.596575
0501-plus	GenMC+CAAT-TSO	504	205	179	0.49786
