task_yaml	Deagle	GenMC	GenMC+CAAT-PSO	GenMC+CAAT-SC	GenMC+CAAT-TSO
c/goblint-regression/13-privatized_18-first-reads_unknown_1_pos.yml	false(unreach-call)	true	true	true	true
c/goblint-regression/13-privatized_18-first-reads_unknown_2_neg.yml	false(unreach-call)	true	true	true	true
c/goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_pos.yml	false(unreach-call)	true	true	true	true
c/goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_neg.yml	false(unreach-call)	true	true	true	true
c/ldv-races/race-2_2-container_of.yml	false(unreach-call)	true	true	true	true
c/ldv-races/race-2_3-container_of.yml	false(unreach-call)	true	true	true	true
c/ldv-races/race-2_4-container_of.yml	false(unreach-call)	true	true	true	true
c/ldv-races/race-2_5-container_of.yml	false(unreach-call)	true	true	true	true
c/ldv-races/race-3_2-container_of-global.yml	false(unreach-call)	true	true	true	true
c/pthread-driver-races/char_generic_nvram_read_nvram_write_nvram.yml	false(unreach-call)	true	true	true	true
c/pthread-driver-races/char_pc8736x_gpio_pc8736x_gpio_change_pc8736x_gpio_current.yml	false(unreach-call)	true	true	true	true
c/pthread-driver-races/char_pc8736x_gpio_pc8736x_gpio_change_pc8736x_gpio_set.yml	false(unreach-call)	true	true	true	true
c/pthread-driver-races/char_pc8736x_gpio_pc8736x_gpio_current_pc8736x_gpio_set.yml	false(unreach-call)	true	true	true	true
c/pthread-theta/unwind1-1.yml	false(unreach-call)	true	true	true	true
c/pthread-theta/unwind1-nondet.yml	false(unreach-call)	true	true	true	true
c/pthread-theta/unwind2-100.yml	true	false(unreach-call)	false(unreach-call)	false(unreach-call)	false(unreach-call)
c/pthread-theta/unwind2-nondet.yml	false(unreach-call)	true	true	true	true
c/pthread-theta/unwind3-nondet.yml	false(unreach-call)	true	true	true	true
c/pthread/stack-2.yml	false(unreach-call)	true	true	true	true
c/weaver/parallel-barrier-loop.wvr.yml	false(unreach-call)	true	true	true	true
c/weaver/popl20-bad-counter-queue.wvr.yml	false(unreach-call)	true	true	true	true
c/weaver/popl20-more-array-sum-alt.wvr.yml	false(unreach-call)	true	true	true	true
c/weaver/popl20-more-array-sum.wvr.yml	false(unreach-call)	true	true	true	true
c/weaver/popl20-more-buffer-series3.wvr.yml	false(unreach-call)	true	true	true	true
