tool		GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)
run set		adapted-previous-caat-sc.Previous GenMC+CAAT-SC.unreach-call	adapted-previous-caat-sc.Previous GenMC+CAAT-SC.unreach-call	adapted-previous-caat-sc.Previous GenMC+CAAT-SC.unreach-call	adapted-previous-caat-sc.Previous GenMC+CAAT-SC.unreach-call	adapted-latest-caat-sc.Latest GenMC+CAAT-SC.unreach-call	adapted-latest-caat-sc.Latest GenMC+CAAT-SC.unreach-call	adapted-latest-caat-sc.Latest GenMC+CAAT-SC.unreach-call	adapted-latest-caat-sc.Latest GenMC+CAAT-SC.unreach-call
/workspace/experiments/fair-coverage/comparison-latest-vs-deagle-60s/previous-vs-latest/raw/sv-benchmarks/c/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
goblint-regression/28-race_reach_01-simple_racing.yml	false	OUT OF MEMORY	45.130004428	45.722855244006496	3999.997952	false(unreach-call)	12.805304413	13.276658060029149	2061.070336
goblint-regression/28-race_reach_02-simple_racefree.yml	true	OUT OF MEMORY	33.401547175	33.601735643984284	3999.997952	TIMEOUT	61.13016077	69.04039670608472	3964.162048
goblint-regression/28-race_reach_05-lockfuns_racefree.yml	true	OUT OF MEMORY	29.644337963	29.78678140498232	3999.997952	TIMEOUT	60.998650544	67.58292297401931	3964.178432
goblint-regression/28-race_reach_06-cond_racing1.yml	false	OUT OF MEMORY	22.560428828	22.590279738011304	3999.997952	false(unreach-call)	12.815158554	12.921282375929877	2061.094912
goblint-regression/28-race_reach_07-cond_racing2.yml	false	OUT OF MEMORY	22.306171747	22.327102370967623	3999.997952	TIMEOUT	61.102127877	63.967358399997465	3964.190720
goblint-regression/28-race_reach_08-cond_racefree.yml	true	OUT OF MEMORY	21.860446341	21.891585554985795	3999.997952	TIMEOUT	60.954079897	61.25911340105813	3964.186624
goblint-regression/28-race_reach_11-ptr_racing.yml	false	OUT OF MEMORY	30.20445609	30.299552939948626	3999.997952	false(unreach-call)	12.666650385	13.790632633958012	2061.053952
goblint-regression/28-race_reach_12-ptr_racefree.yml	true	OUT OF MEMORY	26.124006759	26.251329074031673	3999.997952	TIMEOUT	61.137398684	63.28123436495662	3964.170240
goblint-regression/28-race_reach_19-callback_racing.yml	false	OUT OF MEMORY	25.595469	25.64718031900702	3999.997952	TIMEOUT	61.203482828	62.76100071694236	3983.536128
goblint-regression/28-race_reach_20-callback_racefree.yml	true	OUT OF MEMORY	26.118427159	26.179314323992003	3999.997952	TIMEOUT	61.239102645	64.28554782504216	3982.934016
goblint-regression/28-race_reach_24-sound_lock_racing.yml	false	OUT OF MEMORY	25.322484492	25.397821702004876	3999.997952	false(unreach-call)	12.614528239	13.29722434503492	2061.070336
goblint-regression/28-race_reach_27-funptr_racing.yml	false	OUT OF MEMORY	22.734253764	22.76856764504919	3999.997952	TIMEOUT	60.841658316	61.270100765977986	3958.255616
goblint-regression/28-race_reach_28-funptr_racefree.yml	true	OUT OF MEMORY	22.430322261	22.463859788957052	3999.997952	TIMEOUT	60.946198601	61.24112122296356	3958.284288
goblint-regression/28-race_reach_36-indirect_racefree.yml	true	OUT OF MEMORY	38.990991655	39.203542305971496	3999.997952	TIMEOUT	61.090917438	64.97704243299086	3968.077824
goblint-regression/28-race_reach_37-indirect_racing.yml	false	OUT OF MEMORY	37.817006817	38.036761011055205	3999.997952	false(unreach-call)	12.928662409	14.741838237969205	2061.012992
goblint-regression/28-race_reach_41-trylock_racefree.yml	true	OUT OF MEMORY	43.035996794	43.27762595994864	3999.997952	TIMEOUT	61.225449666	71.09716264496092	3967.922176
goblint-regression/28-race_reach_42-trylock2_racefree.yml	true	OUT OF MEMORY	25.526812577	25.579614606976975	3999.997952	TIMEOUT	60.264102148	61.152420819038525	3896.418304
goblint-regression/28-race_reach_51-mutexptr_racefree.yml	true	OUT OF MEMORY	24.834203319	24.86475792597048	3999.997952	TIMEOUT	60.628157801	67.07982196600642	3968.790528
goblint-regression/28-race_reach_60-invariant_racefree.yml	true	OUT OF MEMORY	26.38398905	26.42786882299697	3999.997952	TIMEOUT	60.778027925	66.17823205795139	3963.219968
goblint-regression/28-race_reach_61-invariant_racing.yml	false	OUT OF MEMORY	25.406561685	25.494549449998885	3999.997952	TIMEOUT	61.153181379	62.36872886191122	3958.059008
goblint-regression/28-race_reach_70-funloop_racefree.yml	true	OUT OF MEMORY	22.991573956	23.014004401979037	3999.997952	TIMEOUT	60.778971953	61.26995686092414	3987.742720
goblint-regression/28-race_reach_71-funloop_racing.yml	false	OUT OF MEMORY	23.334938734	23.36762810597429	3999.997952	TIMEOUT	61.056912394	61.28063063498121	3994.869760
goblint-regression/28-race_reach_72-funloop_hard_racing.yml	false	OUT OF MEMORY	23.116584633	23.170819238992408	3999.997952	TIMEOUT	61.045081356	61.2976998379454	3995.316224
goblint-regression/28-race_reach_73-funloop_hard_racefree.yml	true	OUT OF MEMORY	23.438531606	23.463725816982333	3999.997952	TIMEOUT	61.093457943	61.30524491798133	3995.283456
goblint-regression/28-race_reach_78-equ_racing.yml	false	OUT OF MEMORY	22.806187665	22.845175231981557	3999.997952	TIMEOUT	61.159468661	61.28519189695362	3968.106496
goblint-regression/28-race_reach_79-equ_racefree.yml	true	OUT OF MEMORY	23.501372129	23.69007937499555	3999.997952	TIMEOUT	61.132819451	61.28756360092666	3967.803392
pthread-wmm/mix035.oepc.yml	false	TIMEOUT	60.696760777	61.0125066509936	26.234880	false(unreach-call)	52.830493701	53.41004607104696	26.210304
pthread-wmm/mix038_power.oepc_pso.oepc_rmo.oepc.yml	false	TIMEOUT	60.959198154	61.01449283299735	26.222592	false(unreach-call)	51.99638298	53.15216530603357	26.259456
pthread-wmm/mix042.oepc.yml	false	TIMEOUT	60.946154043	61.01195863203611	26.198016	false(unreach-call)	51.58209412	51.927591017098166	26.189824
pthread-wmm/mix045_power.oepc_pso.oepc_rmo.oepc.yml	false	TIMEOUT	60.897504681	61.01404065999668	26.214400	false(unreach-call)	51.023297244	51.44008547195699	26.189824
pthread-wmm/safe018_pso.oepc_pso.opt_tso.oepc_tso.opt.yml	true	TIMEOUT	60.960824672	61.01458111801185	25.817088	true	55.163067029	55.96875382307917	25.882624
