   BENCHMARK INFORMATION
benchmark definition:    /workspace/experiments/fair-coverage/comparison-latest-vs-deagle-60s/definitions/deagle.xml
name:                    deagle
run sets:                deagle.unreach-call
date:                    Thu, 2026-07-16 12:35:27 UTC
tool:                    Deagle 4.1.0
tool executable:         /opt/deagle/deagle
options:
parallel runs:           10
resource limits:
- memory:                4000.0 MB
- time:                  60 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    b8c09e471d99
os:                      Linux-5.15.0-185-generic-x86_64-with-glibc2.35
cpu:                     Intel Xeon Platinum 8280M CPU @ 2.60GHz
- cores:                 56
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     810198.7450880001 MB
------------------------------------------------------------



deagle.unreach-call
Run set 1 of 1 with options '' and propertyfile 'None'

inputfile                                                                                                                                                                          status                       cpu time   wall time        host
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
goblint-regression/13-privatized_66-mine-W-init_true.yml                                                                                                                           true                             0.25        0.38        None
goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml                                                                                                             false(unreach-call)              0.25        0.37        None
goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_neg.yml                                                                                                             false(unreach-call)              0.21        0.28        None
goblint-regression/36-apron_16-traces-unprot2_true.yml                                                                                                                             true                             0.20        0.29        None
goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml                                                                                                                 true                             0.21        0.33        None
goblint-regression/13-privatized_47-refine-protected2_true.yml                                                                                                                     true                             0.25        0.32        None
goblint-regression/13-privatized_46-refine-protected1_true.yml                                                                                                                     true                             0.23        0.34        None
goblint-regression/36-apron_11-traces-max-simple_true.yml                                                                                                                          true                             0.26        0.34        None
goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml                                                                                                                  false(unreach-call)              0.27        0.35        None
goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml                                                                                                                  false(unreach-call)              0.24        0.33        None
goblint-regression/13-privatized_40-traces-ex-6_true.yml                                                                                                                           true                             0.23        0.28        None
goblint-regression/13-privatized_58-singlethreaded-lock_true.yml                                                                                                                   true                             0.21        0.25        None
goblint-regression/13-privatized_44-traces-mine2_true.yml                                                                                                                          true                             0.26        0.34        None
goblint-regression/13-privatized_18-first-reads_unknown_1_pos.yml                                                                                                                  false(unreach-call)              0.24        0.31        None
goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml                                                                                                                  false(unreach-call)              0.26        0.34        None
goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml                                                                                                                  false(unreach-call)              0.27        0.34        None
