   BENCHMARK INFORMATION
benchmark definition:    /workspace/experiments/fair-coverage/comparison-latest-vs-deagle-60s/definitions/caat-pso.xml
name:                    caat-pso
run sets:                caat-pso.unreach-call
date:                    Thu, 2026-07-16 12:35:26 UTC
tool:                    GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):
  GenMC v0.17.0 (commit #unknown)
  Built with LLVM 15.0.7 (Release)
tool executable:         /workspace/experiments/caat-optimization/streaming-lazy-cycle/build-after/bin/genmc
options:                 --disable-estimation --disable-mm-detector --nthreads=1 --v1
parallel runs:           9
resource limits:
- memory:                4000.0 MB
- time:                  60 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    c5691baf4fd4
os:                      Linux-5.15.0-185-generic-x86_64-with-glibc2.39
cpu:                     Intel Xeon Platinum 8280M CPU @ 2.60GHz
- cores:                 56
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     810198.7450880001 MB
------------------------------------------------------------



caat-pso.unreach-call
Run set 1 of 1 with options '--disable-estimation --disable-mm-detector --nthreads=1 --v1 --svcomp-backend=caat-pso' and propertyfile 'None'

inputfile                                                                                                                                                                          status                       cpu time   wall time        host
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
goblint-regression/13-privatized_66-mine-W-init_true.yml                                                                                                                           true                             0.05        0.07        None
goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml                                                                                                             false(unreach-call)              0.06        0.07        None
goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_neg.yml                                                                                                             true                             0.05        0.07        None
goblint-regression/36-apron_16-traces-unprot2_true.yml                                                                                                                             true                             0.06        0.06        None
goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml                                                                                                                 true                             0.05        0.06        None
goblint-regression/13-privatized_47-refine-protected2_true.yml                                                                                                                     true                             0.06        0.07        None
goblint-regression/13-privatized_46-refine-protected1_true.yml                                                                                                                     true                             0.06        0.07        None
goblint-regression/36-apron_11-traces-max-simple_true.yml                                                                                                                          true                             0.06        0.06        None
goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml                                                                                                                  false(unreach-call)              0.06        0.06        None
goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml                                                                                                                  false(unreach-call)              0.06        0.07        None
goblint-regression/13-privatized_40-traces-ex-6_true.yml                                                                                                                           true                             0.06        0.07        None
goblint-regression/13-privatized_58-singlethreaded-lock_true.yml                                                                                                                   true                             0.06        0.07        None
goblint-regression/13-privatized_44-traces-mine2_true.yml                                                                                                                          true                             0.05        0.06        None
goblint-regression/13-privatized_18-first-reads_unknown_1_pos.yml                                                                                                                  true                             0.07        0.08        None
goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml                                                                                                                  false(unreach-call)              0.06        0.07        None
goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml                                                                                                                  false(unreach-call)              0.06        0.07        None
goblint-regression/13-privatized_18-first-reads_unknown_2_neg.yml                                                                                                                  true                             0.07        0.08        None
goblint-regression/13-privatized_52-refine-protected-loop2-small_true.yml                                                                                                          OUT OF MEMORY                   39.63       45.83        None
goblint-regression/13-privatized_36-traces-ex-3_true.yml                                                                                                                           true                             0.06        0.07        None
goblint-regression/13-privatized_18-first-reads_true.yml                                                                                                                           true                             0.06        0.07        None
goblint-regression/13-privatized_35-traces-ex-2_true.yml                                                                                                                           true                             0.06        0.07        None
goblint-regression/13-privatized_37-traces-ex-4_true.yml                                                                                                                           true                             0.06        0.07        None
goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml                                                                                                                    true                             0.07        0.07        None
goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml                                                                                                            false(unreach-call)              0.06        0.07        None
goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml                                                                                                            false(unreach-call)              0.06        0.07        None
goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml                                                                                                            false(unreach-call)              0.07        0.08        None
goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml                                                                                                            false(unreach-call)              0.06        0.07        None
goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml                                                                                  true                             0.06        0.07        None
goblint-regression/13-privatized_01-priv_nr_true.yml                                                                                                                               true                             0.06        0.07        None
goblint-regression/13-privatized_19-publish-precision_true.yml                                                                                                                     true                             0.06        0.07        None
goblint-regression/13-privatized_42-traces-ex-mini_true.yml                                                                                                                        true                             0.06        0.07        None
goblint-regression/13-privatized_33-traces-v-matters_true.yml                                                                                                                      true                             0.06        0.07        None
goblint-regression/13-privatized_25-struct_nr_true.yml                                                                                                                             true                             0.07        0.10        None
goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml                                                                                                        true                             0.06        0.10        None
goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_pos.yml                                                                                                                 true                             0.06        0.08        None
goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_neg.yml                                                                                                                 false(unreach-call)              0.06        0.09        None
goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml                                                                                                                  true                             0.06        0.08        None
goblint-regression/13-privatized_20-publish-regression_true.yml                                                                                                                    true                             0.06        0.08        None
goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml                                                                                                                  true                             0.06        0.08        None
goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml                                                                                                          true                             0.06        0.07        None
goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml                                                                                                        true                             0.06        0.07        None
goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml                                                                                                true                             0.07        0.09        None
goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml                                                                                                            true                             0.06        0.12        None
goblint-regression/13-privatized_24-multiple-protecting_true.yml                                                                                                                   true                             0.09        0.18        None
weaver/test-semi1.wvr.yml                                                                                                                                                          true                             0.05        0.12        None
weaver/popl20-figure1.wvr.yml                                                                                                                                                      true                             0.06        0.08        None
weaver/test-easy11.wvr.yml                                                                                                                                                         TIMEOUT                         60.88       63.65        None
weaver/bench-exp1x3.wvr.yml                                                                                                                                                        true                             0.05        0.12        None
weaver/test-easy7.wvr.yml                                                                                                                                                          true                             0.06        0.08        None
goblint-regression/36-apron_21-traces-cluster-based_true.yml                                                                                                                       true                             0.07        0.09        None
weaver/test-easy1.wvr.yml                                                                                                                                                          true                             0.06        0.08        None
goblint-regression/36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml                                                                                            true                             0.06        0.09        None
weaver/popl20-figure1-alt.wvr.yml                                                                                                                                                  true                             0.06        0.08        None
weaver/mult-comm.wvr.yml                                                                                                                                                           OUT OF MEMORY                   12.41       15.16        None
weaver/popl20-figure3.wvr.yml                                                                                                                                                      TIMEOUT                         60.51       65.80        None
weaver/security.wvr.yml                                                                                                                                                            true                             0.06        0.09        None
weaver/test-easy8.wvr.yml                                                                                                                                                          true                             0.06        0.13        None
weaver/test-easy6.wvr.yml                                                                                                                                                          true                             0.07        0.13        None
weaver/parallel-misc-2-unrolled.wvr.yml                                                                                                                                            true                             0.06        0.09        None
weaver/popl20-nonblocking-cntr.wvr.yml                                                                                                                                             true                             0.06        0.10        None
weaver/parallel-simple-equiv.wvr.yml                                                                                                                                               true                             0.05        0.08        None
weaver/parallel-misc-3.wvr.yml                                                                                                                                                     true                             0.06        0.11        None
weaver/parallel-ticket-2.wvr.yml                                                                                                                                                   true                             0.06        0.06        None
weaver/popl20-nonblocking-cntr-alt.wvr.yml                                                                                                                                         true                             0.06        0.12        None
weaver/mult-dist.wvr.yml                                                                                                                                                           OUT OF MEMORY                   11.28       11.75        None
weaver/chl-sre-symm.wvr.yml                                                                                                                                                        true                             0.06        0.16        None
weaver/clever.wvr.yml                                                                                                                                                              true                             0.06        0.10        None
goblint-regression/13-privatized_27-multiple-protecting2_true.yml                                                                                                                  true                             0.17        0.24        None
weaver/popl20-more-nonblocking-counter-alt2.wvr.yml                                                                                                                                OUT OF MEMORY                   35.24       37.94        None
weaver/mult-flipped-dist.wvr.yml                                                                                                                                                   OUT OF MEMORY                   11.11       13.40        None
weaver/popl20-counter-determinism.wvr.yml                                                                                                                                          true                             0.06        0.09        None
weaver/popl20-difference-det.wvr.yml                                                                                                                                               true                             0.06        0.13        None
weaver/parallel-misc-2.wvr.yml                                                                                                                                                     true                             0.06        0.12        None
weaver/parallel-misc-4.wvr.yml                                                                                                                                                     true                             0.06        0.09        None
weaver/parallel-misc-2-unrolled-atomic.wvr.yml                                                                                                                                     true                             0.06        0.11        None
weaver/bench-exp2x3.wvr.yml                                                                                                                                                        true                             0.06        0.13        None
weaver/chl-sre-trans.wvr.yml                                                                                                                                                       true                             0.06        0.10        None
weaver/parallel-ticket-3.wvr.yml                                                                                                                                                   true                             0.06        0.11        None
weaver/spaghetti.wvr.yml                                                                                                                                                           TIMEOUT                         60.89       66.25        None
weaver/bench-exp2x4.wvr.yml                                                                                                                                                        true                             0.06        0.07        None
weaver/chl-sre-subst.wvr.yml                                                                                                                                                       true                             0.06        0.14        None
weaver/parallel-misc-3-extended.wvr.yml                                                                                                                                            true                             0.16        0.18        None
weaver/chl-simpl-str-symm.wvr.yml                                                                                                                                                  true                             0.06        0.10        None
weaver/parallel-bluetooth.wvr.yml                                                                                                                                                  true                             0.06        0.06        None
weaver/popl20-bad-threaded-sum-2.wvr.yml                                                                                                                                           OUT OF MEMORY                   37.85       44.16        None
