task	source	multi_input	data_nondeterminism	rules	has_abort_assume	has_atomic_compat	has_rwlock_initializer
c/goblint-regression/13-privatized_66-mine-W-init_true.yml	c/goblint-regression/13-privatized_66-mine-W-init_true.c	False	False		False	False	False
c/goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	c/goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.c	False	True		False	False	False
c/goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_neg.yml	c/goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_neg.c	False	True		False	False	False
c/goblint-regression/36-apron_16-traces-unprot2_true.yml	c/goblint-regression/36-apron_16-traces-unprot2_true.c	False	True		False	False	False
c/goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	c/goblint-regression/13-privatized_57-singlethreaded-unlock_true.c	False	False		False	False	False
c/goblint-regression/13-privatized_47-refine-protected2_true.yml	c/goblint-regression/13-privatized_47-refine-protected2_true.c	False	False		False	False	False
c/goblint-regression/13-privatized_46-refine-protected1_true.yml	c/goblint-regression/13-privatized_46-refine-protected1_true.c	False	False		False	False	False
c/goblint-regression/36-apron_11-traces-max-simple_true.yml	c/goblint-regression/36-apron_11-traces-max-simple_true.c	False	False		False	False	False
c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.c	False	False		False	False	False
c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.c	False	False		False	False	False
c/goblint-regression/13-privatized_40-traces-ex-6_true.yml	c/goblint-regression/13-privatized_40-traces-ex-6_true.c	False	False		False	False	False
c/goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	c/goblint-regression/13-privatized_58-singlethreaded-lock_true.c	False	False		False	False	False
c/goblint-regression/13-privatized_44-traces-mine2_true.yml	c/goblint-regression/13-privatized_44-traces-mine2_true.c	False	False		False	False	False
c/goblint-regression/13-privatized_18-first-reads_unknown_1_pos.yml	c/goblint-regression/13-privatized_18-first-reads_unknown_1_pos.c	False	True		False	False	False
c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.c	False	True		False	False	False
c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.c	False	True		False	False	False
c/goblint-regression/13-privatized_18-first-reads_unknown_2_neg.yml	c/goblint-regression/13-privatized_18-first-reads_unknown_2_neg.c	False	True		False	False	False
c/goblint-regression/13-privatized_52-refine-protected-loop2-small_true.yml	c/goblint-regression/13-privatized_52-refine-protected-loop2-small_true.c	False	False		False	False	False
c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	c/goblint-regression/13-privatized_36-traces-ex-3_true.c	False	False		False	False	False
c/goblint-regression/13-privatized_18-first-reads_true.yml	c/goblint-regression/13-privatized_18-first-reads_true.c	False	True		False	False	False
c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	c/goblint-regression/13-privatized_35-traces-ex-2_true.c	False	False		False	False	False
c/goblint-regression/13-privatized_37-traces-ex-4_true.yml	c/goblint-regression/13-privatized_37-traces-ex-4_true.c	False	False		False	False	False
c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.c	False	False		False	False	False
c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.c	False	False		False	False	False
c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.c	False	False		False	False	False
c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.c	False	False		False	False	False
c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.c	False	False		False	False	False
c/goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	c/goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.c	False	False		False	False	False
c/goblint-regression/13-privatized_01-priv_nr_true.yml	c/goblint-regression/13-privatized_01-priv_nr_true.c	False	False		False	False	False
c/goblint-regression/13-privatized_19-publish-precision_true.yml	c/goblint-regression/13-privatized_19-publish-precision_true.c	False	False		False	False	False
c/goblint-regression/13-privatized_42-traces-ex-mini_true.yml	c/goblint-regression/13-privatized_42-traces-ex-mini_true.c	False	False		False	False	False
c/goblint-regression/13-privatized_33-traces-v-matters_true.yml	c/goblint-regression/13-privatized_33-traces-v-matters_true.c	False	False		False	False	False
c/goblint-regression/13-privatized_25-struct_nr_true.yml	c/goblint-regression/13-privatized_25-struct_nr_true.c	False	False		False	False	False
c/goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml	c/goblint-regression/13-privatized_69-refine-protected-loop-interval_true.c	False	False		False	False	False
c/goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_pos.yml	c/goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_pos.c	False	True		False	False	False
c/goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	c/goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_neg.c	False	True		False	False	False
c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.c	False	False		False	False	False
