task	status	category	interpretation	cputime	walltime	memory	executions	blocked	xml
c/goblint-regression/13-privatized_66-mine-W-init_true.yml	true	correct	benchmark-consistent	0.071943041s	0.07765924400882795s	25559040B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_neg.yml	true	wrong	conditional-input-miss	0.070044649s	0.07426637201569974s	25559040B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	true	correct	benchmark-consistent	0.071111377s	0.08436653600074351s	25620480B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_46-refine-protected1_true.yml	true	correct	benchmark-consistent	0.070240754s	0.07747000898234546s	25694208B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	false(unreach-call)	correct	benchmark-consistent	0.07360369s	0.07905004796339199s	25694208B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_40-traces-ex-6_true.yml	true	correct	benchmark-consistent	0.069452013s	0.07315078098326921s	25698304B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_44-traces-mine2_true.yml	true	correct	benchmark-consistent	0.070192598s	0.07369795901468024s	25694208B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	false(unreach-call)	correct	benchmark-consistent	0.067193361s	0.08090898400405422s	25763840B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_18-first-reads_unknown_2_neg.yml	true	wrong	conditional-input-miss	0.070354367s	0.07937754195882007s	25669632B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	true	correct	benchmark-consistent	0.065701981s	0.07103565498255193s	25690112B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	true	correct	benchmark-consistent	0.076120558s	0.08134027500636876s	25690112B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	true	correct	benchmark-consistent	0.071461865s	0.07674908201443031s	25698304B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	false(unreach-call)	correct	benchmark-consistent	0.071026056s	0.0759261500206776s	25698304B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	false(unreach-call)	correct	benchmark-consistent	0.069739441s	0.07510127400746569s	25731072B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_01-priv_nr_true.yml	true	correct	benchmark-consistent	0.072880725s	0.0803177630295977s	25739264B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_42-traces-ex-mini_true.yml	true	correct	benchmark-consistent	0.068098392s	0.07739776000380516s	25694208B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_25-struct_nr_true.yml	true	correct	benchmark-consistent	0.073536035s	0.0810875580064021s	25694208B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
