task	status	category	interpretation	cputime	walltime	memory	executions	blocked	xml
c/goblint-regression/13-privatized_66-mine-W-init_true.yml	true	correct	benchmark-consistent	0.070391249s	0.0722583649912849s	25694208B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_neg.yml	true	wrong	conditional-input-miss	0.068893823s	0.07534457201836631s	25690112B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	true	correct	benchmark-consistent	0.066324888s	0.07343559805303812s	25690112B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_46-refine-protected1_true.yml	true	correct	benchmark-consistent	0.069711991s	0.07334878400433809s	25669632B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	false(unreach-call)	correct	benchmark-consistent	0.077169129s	0.07859483902575448s	25694208B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_40-traces-ex-6_true.yml	true	correct	benchmark-consistent	0.072256957s	0.0762947759940289s	25694208B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_44-traces-mine2_true.yml	true	correct	benchmark-consistent	0.057177609s	0.06844533595722169s	25686016B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	false(unreach-call)	correct	benchmark-consistent	0.067841388s	0.07163611496798694s	25690112B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_18-first-reads_unknown_2_neg.yml	true	wrong	conditional-input-miss	0.07203068s	0.07650157500756904s	25690112B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	true	correct	benchmark-consistent	0.068272984s	0.07263022201368585s	25690112B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	true	correct	benchmark-consistent	0.069152058s	0.07375673402566463s	25722880B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	true	correct	benchmark-consistent	0.068526872s	0.07328886701725423s	25681920B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	false(unreach-call)	correct	benchmark-consistent	0.080695792s	0.09484321100171655s	25694208B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	false(unreach-call)	correct	benchmark-consistent	0.075441348s	0.08254353504162282s	25747456B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_01-priv_nr_true.yml	true	correct	benchmark-consistent	0.068191291s	0.07379717600997537s	25673728B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_42-traces-ex-mini_true.yml	true	correct	benchmark-consistent	0.070385842s	0.07819583598757163s	25645056B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_25-struct_nr_true.yml	true	correct	benchmark-consistent	0.075786086s	0.09082681400468573s	25776128B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_pos.yml	true	wrong	conditional-input-miss	0.066752303s	0.07552523200865835s	25694208B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	true	correct	benchmark-consistent	0.068036467s	0.07522551401052624s	25751552B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	true	correct	benchmark-consistent	0.068608888s	0.08027309301542118s	25751552B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	true	correct	benchmark-consistent	0.069188282s	0.07566759403562173s	25726976B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	true	correct	benchmark-consistent	0.072769401s	0.0811077649705112s	25694208B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/test-semi1.wvr.yml	true	correct	benchmark-consistent	0.066114892s	0.0758785760262981s	25194496B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/test-easy11.wvr.yml	TIMEOUT	error	unknown	10.99963612s	11.013591661001556s	25235456B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/test-easy7.wvr.yml	true	correct	benchmark-consistent	0.063002189s	0.0732820009579882s	25296896B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/test-easy1.wvr.yml	true	correct	benchmark-consistent	0.063725934s	0.07397170795593411s	25272320B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/popl20-figure1-alt.wvr.yml	true	correct	benchmark-consistent	0.056112943s	0.06569832097738981s	25239552B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/popl20-figure3.wvr.yml	TIMEOUT	error	unknown	11.001779762s	11.020019827992655s	79699968B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/test-easy8.wvr.yml	true	correct	benchmark-consistent	0.06092087s	0.07037992600817233s	25276416B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/parallel-misc-2-unrolled.wvr.yml	true	correct	benchmark-consistent	0.070809827s	0.07677017303649336s	25309184B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/parallel-simple-equiv.wvr.yml	true	correct	benchmark-consistent	0.063589111s	0.07285572699038312s	25268224B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
