task_id	task_yaml	family	property	property_file	expected_verdict	language	data_model	input_count	input_files	source_sha256	source_bytes	source_lines	uses_pthread	uses_c11_atomic	uses_mutex	uses_condvar	uses_dynamic_memory	uses_inline_asm	uses_verifier_nondet	uses_verifier_assume
c/goblint-regression/00-sanity_09-include.yml#no-data-race	c/goblint-regression/00-sanity_09-include.yml	goblint-regression	no-data-race	c/properties/no-data-race.prp	false	C	ILP32	1	00-sanity_09-include.c	9d688e86e7e4087606ab9d08173c4c227b663da7e997bbf86bcc599e41d5985e	601	26	1	0	1	0	0	0	0	0
c/goblint-regression/02-base_24-malloc_races.yml#no-data-race	c/goblint-regression/02-base_24-malloc_races.yml	goblint-regression	no-data-race	c/properties/no-data-race.prp	false	C	ILP32	1	02-base_24-malloc_races.c	f90c032cad43da2fb4e0b7a9fd7f3200ca1c4adf3f239f2d78774392ccecc031	786	40	1	0	1	0	1	0	0	0
c/goblint-regression/02-base_25-malloc_race_cp.yml#no-data-race	c/goblint-regression/02-base_25-malloc_race_cp.yml	goblint-regression	no-data-race	c/properties/no-data-race.prp	false	C	ILP32	1	02-base_25-malloc_race_cp.c	5c24865639a0fb6385d87b52f972ca15b09ce8699a47a6e19f8c040c7561a77b	804	41	1	0	1	0	1	0	0	0
c/goblint-regression/02-base_26-malloc_struct.yml#no-data-race	c/goblint-regression/02-base_26-malloc_struct.yml	goblint-regression	no-data-race	c/properties/no-data-race.prp	false	C	ILP32	1	02-base_26-malloc_struct.c	35c5c2f16af42b98b1ab7b41b9d586c18e7bed3d8d4b2db75e06bb8de929769e	824	44	1	0	1	0	1	0	0	0
c/goblint-regression/03-practical_07-nonterm.yml#no-data-race	c/goblint-regression/03-practical_07-nonterm.yml	goblint-regression	no-data-race	c/properties/no-data-race.prp	false	C	ILP32	1	03-practical_07-nonterm.c	1a5c45a44223147f393b74702a24905a50f014553bda5f1e486b1b813907bad6	865	32	1	0	1	0	0	0	0	0
c/goblint-regression/03-practical_08-nonterm1.yml#no-data-race	c/goblint-regression/03-practical_08-nonterm1.yml	goblint-regression	no-data-race	c/properties/no-data-race.prp	false	C	ILP32	1	03-practical_08-nonterm1.c	3e969e32a88a5e156b51cffed83cf3d4aa28237f70c2f7ecca29f3fc87e23114	1047	43	1	0	1	0	0	0	1	0
c/goblint-regression/03-practical_08-nonterm1.yml#coverage-branches	c/goblint-regression/03-practical_08-nonterm1.yml	goblint-regression	coverage-branches	c/properties/coverage-branches.prp		C	ILP32	1	03-practical_08-nonterm1.c	3e969e32a88a5e156b51cffed83cf3d4aa28237f70c2f7ecca29f3fc87e23114	1047	43	1	0	1	0	0	0	1	0
c/goblint-regression/03-practical_15-exit_problems.yml#no-data-race	c/goblint-regression/03-practical_15-exit_problems.yml	goblint-regression	no-data-race	c/properties/no-data-race.prp	false	C	ILP32	1	03-practical_15-exit_problems.c	5a6f58d33d2b81528ca8565b89a520d0b28390552fc2b179422de5d107efa015	824	40	1	0	1	0	0	0	0	0
c/goblint-regression/04-mutex_01-simple_rc.yml#no-data-race	c/goblint-regression/04-mutex_01-simple_rc.yml	goblint-regression	no-data-race	c/properties/no-data-race.prp	false	C	ILP32	1	04-mutex_01-simple_rc.c	f386a8eced027f444b288d0e2b86adb39ba6177e302e8e8c075532cb09ebacc4	776	30	1	0	1	0	0	0	0	0
c/goblint-regression/04-mutex_02-simple_nr.yml#no-data-race	c/goblint-regression/04-mutex_02-simple_nr.yml	goblint-regression	no-data-race	c/properties/no-data-race.prp	true	C	ILP32	1	04-mutex_02-simple_nr.c	04ecec1834e1a97c623374471780aa5d3739bd673c476c3639e280ee3aaf79e7	778	30	1	0	1	0	0	0	0	0
c/goblint-regression/04-mutex_02-simple_nr.yml#valid-memsafety	c/goblint-regression/04-mutex_02-simple_nr.yml	goblint-regression	valid-memsafety	c/properties/valid-memsafety.prp	true	C	ILP32	1	04-mutex_02-simple_nr.c	04ecec1834e1a97c623374471780aa5d3739bd673c476c3639e280ee3aaf79e7	778	30	1	0	1	0	0	0	0	0
c/goblint-regression/04-mutex_02-simple_nr.yml#no-overflow	c/goblint-regression/04-mutex_02-simple_nr.yml	goblint-regression	no-overflow	c/properties/no-overflow.prp	true	C	ILP32	1	04-mutex_02-simple_nr.c	04ecec1834e1a97c623374471780aa5d3739bd673c476c3639e280ee3aaf79e7	778	30	1	0	1	0	0	0	0	0
c/goblint-regression/04-mutex_03-munge_rc.yml#no-data-race	c/goblint-regression/04-mutex_03-munge_rc.yml	goblint-regression	no-data-race	c/properties/no-data-race.prp	false	C	ILP32	1	04-mutex_03-munge_rc.c	aab2115ad2e925c4213b3ce20b28f5d1793c3c4d4ff2243b939094d903ee91f0	741	33	1	0	1	0	0	0	0	0
c/goblint-regression/04-mutex_04-munge_nr.yml#no-data-race	c/goblint-regression/04-mutex_04-munge_nr.yml	goblint-regression	no-data-race	c/properties/no-data-race.prp	true	C	ILP32	1	04-mutex_04-munge_nr.c	af050e63dcf9dd830df9a18d2bd30b321190833ccd1f9fb768775285774c2bf5	687	32	1	0	1	0	0	0	0	0
c/goblint-regression/04-mutex_04-munge_nr.yml#valid-memsafety	c/goblint-regression/04-mutex_04-munge_nr.yml	goblint-regression	valid-memsafety	c/properties/valid-memsafety.prp	true	C	ILP32	1	04-mutex_04-munge_nr.c	af050e63dcf9dd830df9a18d2bd30b321190833ccd1f9fb768775285774c2bf5	687	32	1	0	1	0	0	0	0	0
c/goblint-regression/04-mutex_04-munge_nr.yml#no-overflow	c/goblint-regression/04-mutex_04-munge_nr.yml	goblint-regression	no-overflow	c/properties/no-overflow.prp	true	C	ILP32	1	04-mutex_04-munge_nr.c	af050e63dcf9dd830df9a18d2bd30b321190833ccd1f9fb768775285774c2bf5	687	32	1	0	1	0	0	0	0	0
c/goblint-regression/04-mutex_05-lockfuns.yml#no-data-race	c/goblint-regression/04-mutex_05-lockfuns.yml	goblint-regression	no-data-race	c/properties/no-data-race.prp	true	C	ILP32	1	04-mutex_05-lockfuns.c	61906cef6e0a71b53f3b9dd6347b21d169962339fbb05e89136b2f67f1faaecb	723	39	1	0	1	0	0	0	0	0
c/goblint-regression/04-mutex_05-lockfuns.yml#valid-memsafety	c/goblint-regression/04-mutex_05-lockfuns.yml	goblint-regression	valid-memsafety	c/properties/valid-memsafety.prp	true	C	ILP32	1	04-mutex_05-lockfuns.c	61906cef6e0a71b53f3b9dd6347b21d169962339fbb05e89136b2f67f1faaecb	723	39	1	0	1	0	0	0	0	0
c/goblint-regression/04-mutex_05-lockfuns.yml#no-overflow	c/goblint-regression/04-mutex_05-lockfuns.yml	goblint-regression	no-overflow	c/properties/no-overflow.prp	true	C	ILP32	1	04-mutex_05-lockfuns.c	61906cef6e0a71b53f3b9dd6347b21d169962339fbb05e89136b2f67f1faaecb	723	39	1	0	1	0	0	0	0	0
