backend	task_yaml	property	expected_verdict	status	category	cputime_seconds	walltime_seconds	memory_bytes	returnvalue	exitsignal	starttime
genmc-sc	c/goblint-regression/13-privatized_01-priv_nr_true.yml	unreach-call	true	true	correct	0.037281	0.0392147118691355	25911296	0		2026-07-14T17:51:52.185028+08:00
genmc-sc	c/goblint-regression/13-privatized_04-priv_multi_true.yml	unreach-call	true	ERROR (unsupported external)	error	0.056144	0.07226814096793532	26165248	17		2026-07-14T17:57:55.409756+08:00
genmc-sc	c/goblint-regression/13-privatized_18-first-reads_true.yml	unreach-call	true	true	correct	0.034669	0.05286020692437887	25923584	0		2026-07-14T17:51:52.003758+08:00
genmc-sc	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.034766	0.0360961661208421	25927680	42		2026-07-14T17:51:51.847461+08:00
genmc-sc	c/goblint-regression/13-privatized_18-first-reads_unknown_1_pos.yml	unreach-call	false	true	wrong	0.034246	0.04630369087681174	25911296	0		2026-07-14T17:51:51.834475+08:00
genmc-sc	c/goblint-regression/13-privatized_18-first-reads_unknown_2_neg.yml	unreach-call	false	true	wrong	0.034737	0.05495183798484504	25931776	0		2026-07-14T17:51:52.001569+08:00
genmc-sc	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	unreach-call	false	false(unreach-call)	correct	0.032801	0.036198881920427084	25923584	42		2026-07-14T17:51:51.847401+08:00
genmc-sc	c/goblint-regression/13-privatized_19-publish-precision_true.yml	unreach-call	true	true	correct	0.036241	0.039573309011757374	25948160	0		2026-07-14T17:51:52.188199+08:00
genmc-sc	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.036293	0.0378568209707737	25923584	42		2026-07-14T17:51:52.192261+08:00
genmc-sc	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	unreach-call	false	false(unreach-call)	correct	0.032766	0.04799561994150281	25931776	42		2026-07-14T17:51:52.008560+08:00
genmc-sc	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	unreach-call	false	false(unreach-call)	correct	0.038054	0.03949611308053136	25923584	42		2026-07-14T17:51:52.184805+08:00
genmc-sc	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	unreach-call	false	false(unreach-call)	correct	0.038796	0.05361703899689019	25931776	42		2026-07-14T17:51:52.164900+08:00
genmc-sc	c/goblint-regression/13-privatized_20-publish-regression_true.yml	unreach-call	true	true	correct	0.035239	0.03800814785063267	25919488	0		2026-07-14T17:51:52.347031+08:00
genmc-sc	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	unreach-call	true	true	correct	0.036236	0.039121903013437986	25972736	0		2026-07-14T17:51:52.504845+08:00
genmc-sc	c/goblint-regression/13-privatized_25-struct_nr_true.yml	unreach-call	true	true	correct	0.037165	0.03881199099123478	25927680	0		2026-07-14T17:51:52.336816+08:00
genmc-sc	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	unreach-call	true	true	correct	0.038172	0.0510814709123224	26017792	0		2026-07-14T17:51:53.215976+08:00
genmc-sc	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	unreach-call	true	true	correct	0.036675	0.03775068209506571	25968640	0		2026-07-14T17:51:52.501466+08:00
genmc-sc	c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	unreach-call	true	true	correct	0.036365	0.04633756307885051	25935872	0		2026-07-14T17:51:52.469640+08:00
genmc-sc	c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	unreach-call	true	true	correct	0.036831	0.03891569608822465	25935872	0		2026-07-14T17:51:52.342778+08:00
genmc-sc	c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	unreach-call	true	true	correct	0.03576	0.04812874901108444	25944064	0		2026-07-14T17:51:52.484942+08:00
genmc-sc	c/goblint-regression/13-privatized_33-traces-v-matters_true.yml	unreach-call	true	true	correct	0.039748	0.046390505973249674	25899008	0		2026-07-14T17:51:52.321003+08:00
