task	family	expected	previous_status	genmc_status	caat_sc_status	caat_sc_cpu_s	caat_sc_rss_mb	deagle_status	deagle_cpu_s	deagle_rss_mb	caat_log_output_bytes	source	source_missing	source_bytes	source_loc	pthread_create_calls	pthread_join_calls	mutex_ops	atomic_begin_calls	nondet_calls	assume_calls	loop_tokens	thread_routines	weak_encoding_identifiers	deagle_unwind_mode	deagle_true_incomplete_bound	deagle_log_has_failure	deagle_log_has_success	has_nondet	strict_semantics_comparable	mechanism_cluster
goblint-regression/13-privatized_52-refine-protected-loop2-small_true.yml	goblint-regression	true	TIMEOUT	TIMEOUT	TIMEOUT	57.430861661	108.544	true	5.197622086	28.4672	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/goblint-regression/13-privatized_52-refine-protected-loop2-small_true.c	False	986	36	1	0	4	0	0	0	1	1	0	fallback_bound_3	True	False	True	False	False	unbounded loop / Deagle bounded-TRUE caveat
pthread-ext/25_stack.yml	pthread-ext	true	TIMEOUT	TIMEOUT	TIMEOUT	60.531772195	93.249536	true	7.014328556	330.739712	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread-ext/25_stack.c	False	1946	95	1	0	7	2	2	0	2	1	0	fallback_bound_3	True	False	True	True	False	unbounded loop / Deagle bounded-TRUE caveat
pthread-ext/25_stack_longer-2.yml	pthread-ext	true	TIMEOUT	TIMEOUT	TIMEOUT	60.595920484	92.545024	true	18.82053672	2008.363008	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread-ext/25_stack_longer-2.c	False	1947	95	1	0	7	2	2	0	2	1	0	fallback_bound_3	True	False	True	True	False	unbounded loop / Deagle bounded-TRUE caveat
pthread-ext/26_stack_cas.yml	pthread-ext	true	TIMEOUT	TIMEOUT	TIMEOUT	60.974162942	90.23488	true	14.199940011	794.50112	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread-ext/26_stack_cas.c	False	2304	124	1	0	0	2	2	2	3	1	0	fallback_bound_3	True	False	True	True	False	unbounded loop / Deagle bounded-TRUE caveat
pthread-ext/28_buggy_simple_loop1_vf.yml	pthread-ext	false	TIMEOUT	TIMEOUT	TIMEOUT	60.938605055	25.776128	false(unreach-call)	5.112093873	45.674496	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread-ext/28_buggy_simple_loop1_vf.c	False	784	29	1	0	0	0	4	0	4	1	0	fallback_bound_3	False	True	False	True	False	loop or repeated-thread/state-space explosion
pthread-theta/exponential-4.yml	pthread-theta	true	TIMEOUT	TIMEOUT	TIMEOUT	60.866514662	25.94816	true	0.266180172	16.379904	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread-theta/exponential-4.c	False	296	8	0	0	0	0	0	0	0	0	0	suggested_finite_bound	False	False	True	False	True	finite non-WMM exploration explosion
pthread-wmm/mix001.oepc.yml	pthread-wmm	false	TIMEOUT	false(unreach-call)	TIMEOUT	60.985508927	26.349568	false(unreach-call)	0.278784455	13.037568	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread-wmm/mix001.oepc.c	False	9644	218	3	0	0	19	6	2	0	3	310	no_loops	False	True	False	True	False	loop-free weak-memory encoding / explicit-schedule explosion
pthread-wmm/mix001.opt.yml	pthread-wmm	false	TIMEOUT	TIMEOUT	TIMEOUT	60.77660473	26.345472	false(unreach-call)	0.266735287	11.923456	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread-wmm/mix001.opt.c	False	8623	207	3	0	0	19	5	2	0	3	258	no_loops	False	True	False	True	False	loop-free weak-memory encoding / explicit-schedule explosion
pthread-wmm/mix002.oepc.yml	pthread-wmm	false	TIMEOUT	false(unreach-call)	TIMEOUT	61.00202096	26.251264	false(unreach-call)	0.278023252	12.0832	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread-wmm/mix002.oepc.c	False	8012	209	3	0	0	20	3	2	0	3	223	no_loops	False	True	False	True	False	loop-free weak-memory encoding / explicit-schedule explosion
pthread-wmm/mix002.opt.yml	pthread-wmm	false	TIMEOUT	TIMEOUT	TIMEOUT	60.6440655	26.251264	false(unreach-call)	0.269631402	11.8784	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread-wmm/mix002.opt.c	False	8710	212	3	0	0	20	5	2	0	3	258	no_loops	False	True	False	True	False	loop-free weak-memory encoding / explicit-schedule explosion
pthread-wmm/mix003.oepc.yml	pthread-wmm	false	TIMEOUT	false(unreach-call)	TIMEOUT	60.0957524	26.2144	false(unreach-call)	0.272717171	11.886592	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread-wmm/mix003.oepc.c	False	7756	199	3	0	0	18	3	2	0	3	223	no_loops	False	True	False	True	False	loop-free weak-memory encoding / explicit-schedule explosion
pthread-wmm/mix003_power.opt_pso.opt_rmo.opt_tso.opt.yml	pthread-wmm	false	TIMEOUT	TIMEOUT	TIMEOUT	60.382663246	26.308608	false(unreach-call)	0.262119807	11.829248	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread-wmm/mix003_power.opt_pso.opt_rmo.opt_tso.opt.c	False	8454	202	3	0	0	18	5	2	0	3	258	no_loops	False	True	False	True	False	loop-free weak-memory encoding / explicit-schedule explosion
pthread-wmm/mix004.oepc.yml	pthread-wmm	false	TIMEOUT	TIMEOUT	TIMEOUT	60.63211969	26.284032	false(unreach-call)	0.310486431	13.869056	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread-wmm/mix004.oepc.c	False	8860	229	4	0	0	22	3	2	0	4	253	no_loops	False	True	False	True	False	loop-free weak-memory encoding / explicit-schedule explosion
pthread-wmm/mix004.opt.yml	pthread-wmm	false	TIMEOUT	TIMEOUT	TIMEOUT	60.978728848	26.39872	false(unreach-call)	0.285703696	12.726272	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread-wmm/mix004.opt.c	False	9069	227	4	0	0	22	5	2	0	4	262	no_loops	False	True	False	True	False	loop-free weak-memory encoding / explicit-schedule explosion
pthread-wmm/mix005.opt.yml	pthread-wmm	false	TIMEOUT	TIMEOUT	TIMEOUT	60.389114592	26.361856	false(unreach-call)	0.278017941	12.582912	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread-wmm/mix005.opt.c	False	8983	225	4	0	0	22	5	2	0	4	262	no_loops	False	True	False	True	False	loop-free weak-memory encoding / explicit-schedule explosion
pthread-wmm/mix005_power.oepc_pso.oepc_rmo.oepc.yml	pthread-wmm	false	TIMEOUT	TIMEOUT	TIMEOUT	60.1097815	26.288128	false(unreach-call)	0.305850443	13.758464	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread-wmm/mix005_power.oepc_pso.oepc_rmo.oepc.c	False	8774	227	4	0	0	22	3	2	0	4	253	no_loops	False	True	False	True	False	loop-free weak-memory encoding / explicit-schedule explosion
pthread-wmm/mix005_tso.oepc.yml	pthread-wmm	false	TIMEOUT	TIMEOUT	TIMEOUT	60.302098871	26.431488	false(unreach-call)	0.294623329	13.778944	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread-wmm/mix005_tso.oepc.c	False	9684	240	4	0	0	22	3	2	0	4	253	no_loops	False	True	False	True	False	loop-free weak-memory encoding / explicit-schedule explosion
pthread-wmm/mix006.opt.yml	pthread-wmm	false	TIMEOUT	TIMEOUT	TIMEOUT	60.262508474	26.284032	false(unreach-call)	0.27322485	11.886592	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread-wmm/mix006.opt.c	False	8366	200	3	0	0	18	5	2	0	3	258	no_loops	False	True	False	True	False	loop-free weak-memory encoding / explicit-schedule explosion
pthread-wmm/mix006_power.oepc_pso.oepc_rmo.oepc.yml	pthread-wmm	false	TIMEOUT	false(unreach-call)	TIMEOUT	60.604734444	26.243072	false(unreach-call)	0.274863074	11.902976	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread-wmm/mix006_power.oepc_pso.oepc_rmo.oepc.c	False	7668	197	3	0	0	18	3	2	0	3	223	no_loops	False	True	False	True	False	loop-free weak-memory encoding / explicit-schedule explosion
